prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
My father,was a hard worker and always tried to do his best. I loved his hands.,"['was a hard worker and', 'always tried to do his best', 'I loved his hands']","['P_bevb_x', 'A_pron_x', 'A_pron_x', 'A_pron_x']",16,"[0.56, 0.56, 0.88]","[0.06, 0.06, 0.01]","[0.08, 0.08, 0.02]"
My conscience bothers me if,I hurt myself or others.,['I hurt myself or others'],['A_def'],17,[0.88],[0.11],[0.13]
Raising a family,no,['no'],['Undefined'],18,[0.56],[0.0],[0.0]
At times I worry about,my dreams,['my dreams'],['Undefined'],19,[0.48],[0.0],[0.01]
My main problem is,"I haven&#039;t figured out how to warp the temporal plane and therefore find presence in every minute. I can touch upon that infinity when I remind myself to do so, but sometimes I can be so caught up in the complexity, that I forget about this inner simplicity.","['I haven t figured out how to warp the temporal plane and', 'therefore find presence in every minute', 'I can touch upon that infinity', 'when I remind myself to do so', 'but sometimes I can be so caught up in the complexity', 'that I forget about this inner simplicity']","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def']",20,"[0.88, 1.0, 1.0, 0.88, 1.0, 1.0]","[0.1, 0.14, 0.18, 0.09, 0.12, 0.2]","[0.15, 0.17, 0.21, 0.12, 0.17, 0.23]"
The thing I like about myself is,"how radiant and resplendent the blessing of creation&#039;s unfurling is, that I have for these breaths this incarnate, particular, sensory dip in the ocean of all-being/all-becoming.","['how radiant and resplendent the blessing of creation s unfurling is', 'that I have for these breaths this incarnate particular sensory dip in the ocean of all', 'being all becoming']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x']",21,"[1.0, 1.0, 1.0]","[0.21, 0.15, 0.26]","[0.26, 0.23, 0.27]"
My conscience bothers me if,If my words or actions have hurt someone,['If my words or actions have hurt someone'],['A_pron_x'],22,[1.0],[0.08],[0.12]
Business and society,are expressions of one another.,['are expressions of one another'],['P_bevb_x'],23,[0.56],[0.21],[0.23]
Education,"is something I value for my own personal development, and am devoted to as part of my path in service to the transformation of others.","['is something', 'I value for my own personal development and am devoted to as part of my path in service to the transformation of others']","['P_bevb_x', 'A_pron_x']",24,"[0.56, 1.0]","[0.13, 0.21]","[0.13, 0.32]"
We could make the world a better place if,"we would truly listen to each other enough to see our commonality, knew our own selves and inner workings enough to not be so attached to our desires and views, and awakened more fully in awe to the magnificence and mystery of this Life we are and share.","['we would truly listen to each other enough', 'to see', 'our commonality knew our own selves and inner workings enough to not be so attached to our desires and views and', 'awakened more fully in awe to the magnificence and mystery of this Life', 'we are and share']","['P_bevb_x', 'A_def', 'A_pron_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'A_def']",25,"[1.0, 0.44, 1.0, 1.0, 0.56]","[0.11, 0.0, 0.16, 0.15, 0.01]","[0.15, 0.01, 0.26, 0.21, 0.02]"
Education,"on a need to know basis, it will be there waiting :&#x29;","['to know basis', 'it will be there waiting']","['A_def', 'P_bevb_x']",26,"[0.56, 0.56]","[0.09, 0.06]","[0.1, 0.08]"
What I like to do best is,"be here in this moment with all parts of me, here, in the unknowable known moment and breathe, be being by being, feel the inseparability of the me and the world, the environment and my mind.","['be here in this moment with all parts of me here in the unknowable known moment and', 'breathe be being by', 'being feel the inseparability of the me and the world the environment and my mind']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x']",27,"[0.56, 0.56, 0.56]","[0.11, 0.07, 0.21]","[0.19, 0.09, 0.28]"
When I get mad,"unsanity, its a lovely swim",['unsanity'],['Undefined'],28,[0.56],[0.75],[0.75]
Sometimes I wish that,"every thing could just be exactly as it is, oh, wonderful, you fairy you :&#x29;","['every thing could just be', 'exactly as it is oh wonderful', 'you fairy you']","['P_bevb_x', 'P_bevb_x', 'A_def']",29,"[1.0, 1.0, 0.48]","[0.06, 0.17, 0.01]","[0.08, 0.18, 0.02]"
If I were in charge,"depending on what I was in charge of I might not be for long as I prefer to lead by influence rather than by command and make a great #2, but not sure I want to be &quot;in charge&quot; when in reality one can only truly be &quot;in charge&quot; of themselves.","['depending on', 'what I was in charge of I', 'might not be for long', 'as I prefer to lead by influence rather than by command and', 'make a great 2 but not sure', 'I want to be in charge', 'when in reality one can only truly be in charge of themselves']","['A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",30,"[0.56, 1.0, 0.56, 1.0, 0.88, 1.0, 1.0]","[0.25, 0.02, 0.01, 0.12, 0.02, 0.01, 0.16]","[0.26, 0.05, 0.03, 0.17, 0.05, 0.04, 0.22]"
"These days, work","...is so much more satisfying and enjoyable than ever before, complete with challenges, possibilities for personal and organizational growth, opportunities for collaboration, and plenty of humor and amazement at the webs we humans weave!","['so much more satisfying and enjoyable than ever before complete with challenges possibilities for personal and organizational growth opportunities for collaboration and plenty of humor and amazement at the webs', 'we humans weave']","['Undefined', 'A_def']",31,"[1.0, 0.56]","[0.35, 0.09]","[0.5, 0.1]"
When people are helpless,As a short term condition it is right and beneficial to take action to rescue them but if their helplessness is a chronic condition and attitude then one must balance on the sharp edge between effective assistance versus  rescue that would perpetuate the helpless state.,"['As a short term condition', 'it is right and beneficial to take action but', 'to rescue them', 'if their helplessness is a chronic condition and attitude', 'then one must balance on the sharp edge between effective assistance versus rescue', 'that would perpetuate the helpless state']","['Undefined', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'P_bevb_x']",32,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.56]","[0.11, 0.14, 0.09, 0.22, 0.19, 0.18]","[0.13, 0.18, 0.1, 0.26, 0.25, 0.21]"
If I were in charge,Of anything right now it would be a challenge because I do not seem to be able to believe in the idea that anyone can actually BE in charge. It is a mutual illusion.,"['Of anything right now', 'it would be a challenge', 'because I do not seem to be able to believe in the idea', 'that anyone can actually BE in charge', 'It is a mutual illusion']","['Undefined', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",33,"[0.56, 1.0, 1.0, 1.0, 0.88]","[0.07, 0.06, 0.07, 0.16, 0.21]","[0.09, 0.08, 0.14, 0.19, 0.23]"
People who step out of line,"Impress and inspire me when it done with courage, integrity and  grace to express their true essence and to move the line of society when needed and when done for self-serving reasons, are people who are disrespectful of others.","['and', 'Impress', 'inspire me', 'when it done with courage integrity and grace', 'to express their true essence and', 'to move the line of society', 'when needed and', 'when done for reasons', 'self serving', 'are people', 'who are disrespectful of others']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x']",34,"[0.56, 0.88, 0.56, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 0.48, 1.0]","[0.0, 0.25, 0.13, 0.08, 0.06, 0.1, 0.09, 0.07, 0.13, 0.13, 0.21]","[0.0, 0.25, 0.13, 0.12, 0.08, 0.12, 0.1, 0.09, 0.13, 0.13, 0.23]"
When I am criticized,"it is an utterance from a particular observer with a motivation that may be useful to understand. Historically I would take it personally now it lands some where in the space around me for me to note with curiosity, discernment, respect and compassion for the speaker.","['it is an utterance from a particular observer with a motivation', 'that may be useful to understand', 'Historically I would take it personally now', 'it lands some where in the space around me', 'for me to note with curiosity', 'discernment respect and compassion for the speaker']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",35,"[1.0, 0.56, 1.0, 1.0, 1.0, 1.0]","[0.26, 0.14, 0.27, 0.02, 0.14, 0.23]","[0.31, 0.17, 0.3, 0.07, 0.17, 0.26]"
When people are helpless,let it be a moment in time a need defined a still point for some new turning a siren heard and felt in the fabric of our interbeing a call and response that belongs to us all,"['let', 'it be a moment in time a need', 'defined a still point for and', 'some new turning a siren heard', 'felt in the fabric of a call and response', 'our interbeing', 'that belongs to us all']","['A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def']",36,"[0.44, 0.56, 0.56, 0.56, 1.0, 0.56, 0.56]","[0.0, 0.05, 0.06, 0.06, 0.08, 0.38, 0.06]","[0.0, 0.09, 0.08, 0.08, 0.12, 0.38, 0.08]"
Technology,"might one day be the next step of evolution. Individual units that last millennia, systems for the aeons. What if biological life was just another stepping stone this evolution and involution One uses to be fully itself?","['might one day be the next step of evolution Individual units that last millennia systems for the aeons', 'if biological life was just another stepping stone this evolution and involution', 'One uses to be fully itself']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",37,"[0.88, 1.0, 0.56]","[0.18, 0.28, 0.14]","[0.27, 0.34, 0.17]"
Raising a family,", my biggest unfulfilled dream, triggers some times within me a soulful ache, amplified by memories from my past and fears about the future.","['my biggest unfulfilled dream', 'triggers some times within me a soulful ache and fears about the future', 'amplified by memories from my past']","['Undefined', 'A_def', 'A_pron_x']",38,"[0.56, 1.0, 0.48]","[0.2, 0.11, 0.18]","[0.21, 0.18, 0.21]"
I just can\'t stand people who,"whatever, it is a reflection of myself/humanities  judgment on humanity/self, my/humanities non acceptance of myself/humanity.","['self my humanities non acceptance of myself humanity', 'who whatever it is a reflection of myself humanities judgment on humanity']","['Undefined', 'P_bevb_x']",39,"[1.0, 1.0]","[0.3, 0.28]","[0.34, 0.34]"
"These days, work",Is a rainbow of consciousness manifesting through each sparkling emanation called a &#039;me&#039;.,"['a rainbow of consciousness', 'manifesting through each sparkling emanation', 'called a me']","['Undefined', 'A_def', 'A_def']",40,"[1.0, 1.0, 1.0]","[0.2, 0.31, 0.01]","[0.21, 0.33, 0.02]"
I am,amazed at how quickly the world gives way to the Void.,"['amazed at', 'how quickly the world gives way to the Void']","['Undefined', 'A_def']",41,"[0.44, 1.0]","[0.0, 0.05]","[0.01, 0.09]"
We could make the world a better place if,"..if individuals and systems are given the space to be, grow and develop in a healthy manner. If we grow to be and act more compassionately, promoting a more just and sustainable earth.
...if we raised our children differently, and the systems we create serve their purpose.
In the context I am in now I burn to see our political and public systems transform - they have such clout and could be even greater sources of positive change.
We could make the world a better place if we sit with our blind spots and transform them, if I practice authentic communication, if I become a better mother and wife.
And maybe, for now, the world is already a great place to be?","['if individuals and systems are given the space', 'to be grow and', 'develop in a healthy manner', 'If we grow to be and', 'act more compassionately', 'promoting a more just and sustainable earth', 'if we raised our children differently and', 'we create', 'the systems serve their purpose In the context', 'I am in now', 'I burn', 'to see', 'our political and public systems transform and', 'they have such clout', 'could be even greater sources of positive change', 'We could make the world a better place', 'if we sit with our blind spots and', 'transform them', 'if I practice authentic communication', 'if I become a better mother and wife', 'And maybe for now the world is already a great place', 'to be']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x']",42,"[1.0, 0.56, 0.56, 0.88, 1.0, 0.56, 1.0, 1.0, 1.0, 0.88, 0.88, 0.44, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0, 1.0, 0.44]","[0.21, 0.01, 0.16, 0.01, 0.34, 0.16, 0.16, 0.13, 0.11, 0.01, 0.0, 0.0, 0.23, 0.01, 0.08, 0.05, 0.02, 0.13, 0.36, 0.11, 0.05, 0.0]","[0.25, 0.02, 0.18, 0.04, 0.35, 0.19, 0.19, 0.13, 0.15, 0.02, 0.01, 0.01, 0.26, 0.02, 0.12, 0.09, 0.06, 0.13, 0.38, 0.15, 0.11, 0.01]"
The thing I like about myself is,"engaging as the creative witness which transforms the infinite-infinte world, made up from the infinite void and the infinite all merged together into a devine manifest-illusion both of which transform the etherial field into single or multitude of expressions from etherial oneness to psycho-socail-physio manifestations of the multitudes.","['engaging as the creative witness the infinite all', 'which transforms the infinite infinte world and', 'made up from the infinite void', 'merged together into a devine manifest illusion', 'both of which transform the etherial field into single or multitude of expressions from etherial oneness to psycho socail physio manifestations of the multitudes']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def']",43,"[1.0, 1.0, 0.56, 0.56, 1.0]","[0.21, 0.16, 0.1, 0.27, 0.28]","[0.25, 0.19, 0.12, 0.3, 0.4]"
What I like to do best is,"open my mind and let the concrete, psychological and etherial worlds fall away into the infinite void, slide from the infinite void into the infinite all, experience the merging of the infinite void and the infinite all into the infinite-infinite and bring awareness to this process, toggling back and forth between the engaged process and the observation of this process until the two merge in to the engagedobserver the passionateobserverexperiencer and then realize it is the way the engagedobserver does the observing that shapes the dynamics of the experience.","['open my mind and', 'let all experience the merging of the infinite void and the infinite all into the infinite infinite and', 'the concrete psychological and etherial worlds fall away into the infinite void slide from the infinite void into the infinite', 'bring awareness to this process', 'toggling back and forth between the engaged process and the observation of this process until the two merge in to the engagedobserver the passionateobserverexperiencer and', 'then realize', 'it is the way', 'the engagedobserver does the observing', 'that shapes the dynamics of the experience']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def']",44,"[0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 1.0]","[0.01, 0.23, 0.24, 0.06, 0.26, 0.25, 0.01, 0.31, 0.2]","[0.02, 0.32, 0.34, 0.08, 0.39, 0.26, 0.02, 0.33, 0.23]"
The past,"present and future continuum of time unfolds in a specific direction concretely but unfolds in the opposite direction from the place of the creativeobserver witnessing the infinite-infinite break into the infinite all and the infinite void each denying itself &#x28;as the infinite all engages in self-destruction and recreation and the infinite void engages in manifesting illusions&#x29; and as these dynamics split further the etherial world of the divine field presents itself and is broken down into the field and the one in the field which further breaks down into the field flooding the one in the field which then breaks down into the one in the collapsed energy field and believing more and more in the constructs defined within that arena, the psyco-socail dynamic which when put to task creates physical space and time from which is created the physical trajectory of past present and future.","['present and future continuum of time unfolds in a specific direction concretely but all engages in self destruction and recreation and the infinite void engages in and', 'unfolds in the opposite direction from the place of the creativeobserver', 'witnessing the infinite infinite break into the infinite all and the infinite void', 'each denying itself as the infinite', 'manifesting illusions', 'as these dynamics split further the etherial world of the divine field', 'presents itself and', 'is broken down into the field and the one in the field', 'which further breaks down into the field', 'flooding the one in the field', 'which then breaks down into the one in the collapsed energy field and', 'believing more and more in the constructs the psyco socail dynamic', 'defined within that arena', 'when put to task', 'which creates physical space and time', 'from which is created the physical trajectory of past present and future']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",45,"[1.0, 1.0, 0.56, 1.0, 0.56, 1.0, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0]","[0.24, 0.21, 0.25, 0.18, 0.63, 0.16, 0.09, 0.07, 0.09, 0.06, 0.11, 0.19, 0.2, 0.01, 0.14, 0.2]","[0.38, 0.26, 0.31, 0.21, 0.63, 0.22, 0.1, 0.13, 0.12, 0.08, 0.18, 0.24, 0.21, 0.02, 0.17, 0.26]"
At times I worry about,not being able to get back to the devine field.,['not being able to get back to the devine field'],"['P_bevb_x', 'A_def']",46,[1.0],[0.05],[0.1]
I am,"creatively observing the infinite-infinite as it breaks into the infinite all and the infinite void and how each denies its own existence while recreating it, the infinite all engaging in self-destruction and recreating all possibilities, and the infinite void creating illusions which then become manifest, and as these dynamics are dissected how the etherial, psycho-social, and material worlds manifest from the pure field.","['creatively observing the infinite infinite', 'as it breaks into the infinite all and the infinite void and', 'how each denies its own existence', 'while recreating it the infinite all', 'engaging in self destruction and', 'recreating all possibilities and the infinite void', 'creating illusions', 'which then become manifest and', 'as these dynamics are dissected', 'how the etherial psycho social and material worlds manifest from the pure field']","['A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_get_x', 'P_bevb_x', 'A_def']",47,"[1.0, 0.56, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.41, 0.14, 0.14, 0.18, 0.21, 0.3, 0.5, 0.16, 0.21, 0.21]","[0.43, 0.2, 0.17, 0.21, 0.23, 0.34, 0.51, 0.18, 0.23, 0.27]"
My main problem is,how my narccissim gets in the way of seeing the truth of the illusion of self.,"['how my narccissim gets in the way of', 'seeing the truth of the illusion of self']","['A_pron_x', 'A_def']",48,"[1.0, 0.56]","[0.11, 0.11]","[0.15, 0.15]"
If I were in charge,then i would be the I of all.,"['then', 'i would be the I of all']","['Undefined', 'P_bevb_x']",49,"[0.56, 0.88]","[0.0, 0.02]","[0.0, 0.05]"
We could make the world a better place if,"we all paid attention to our growth - explored the shadow, developed our maturity, learned to go inside.  We can also act directly on the world by developing global interactions that serve everyone; teaching attitudes of peace, gratitude, forgiveness; listening to other people and to the underlying dynamics; I&#039;m sure there&#039;s more.","['we all paid attention to our growth', 'explored', 'the shadow developed', 'our maturity learned to go inside', 'We can also act directly on the world by', 'developing global interactions', 'that serve everyone', 'teaching attitudes of peace gratitude forgiveness', 'listening to other people and to the underlying dynamics', 'I m sure', 'there s more']","['A_pron_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_get_x', 'A_def']",50,"[0.56, 0.48, 0.56, 0.56, 1.0, 1.0, 0.56, 1.0, 1.0, 0.88, 0.56]","[0.09, 0.25, 0.26, 0.18, 0.11, 0.59, 0.17, 0.31, 0.27, 0.01, 0.01]","[0.12, 0.25, 0.27, 0.21, 0.15, 0.6, 0.18, 0.33, 0.32, 0.02, 0.02]"
Privacy,is relative depending one&#039;s comfort with oneself and others.,"['is relative', 'depending one s comfort with oneself and others']","['P_bevb_x', 'A_pron_x']",51,"[0.48, 1.0]","[0.25, 0.18]","[0.26, 0.21]"
Change is,the heartbeat of the universe... aliveness calling us forth!,"['the heartbeat of the universe aliveness', 'calling us forth']","['Undefined', 'A_def']",52,"[0.56, 1.0]","[0.14, 0.09]","[0.17, 0.1]"
Being with other people,is like watching life itself unfold through the ages.,"['is like', 'watching life itself', 'unfold through the ages']","['P_bevb_x', 'A_def', 'A_def']",53,"[0.48, 1.0, 0.56]","[0.0, 0.17, 0.07]","[0.01, 0.18, 0.09]"
The thing I like about myself is,"that here I sit in the drop of this essential moment, chuckling at this question! :-D","['that here I sit in the drop of this essential moment', 'chuckling at this question D']","['A_def', 'A_def']",54,"[0.88, 1.0]","[0.1, 0.11]","[0.15, 0.13]"
