prompt,response,score,PassAct,survOgive,survey_id,prompt_number,prompt_id,UID
The thing I like about myself is,my ability to adapt to any situation.,3.5,a,3.5,1864,6,6,01864.006.
When I get mad,.. I reflect on what on what is upsetting me,3.5,a,4.0,1902,26,26,01902.026.
Change is,"great, especially when it improves on the way things are now.",3.5,a,3.5,2325,3,3,02325.003.
Privacy,is both and valid and useful right and also holding back the progress of our world.,3.5,a,4.0,2833,15,41,02833.015.
Business and society,are interrelated but can have shared values for the good of the whole,3.5,a,3.5,3137,20,44,03137.020.
My conscience bothers me if,I have done wrong to someone unjustly. Did not happen that often but sometimes I over reacted on prejudice and may have been harsh on some people.  ,3.5,a,4.5,3353,35,35,03353.035.
Change is,Reflecting and improving your practice.,3.5,a,3.5,2359,3,3,02359.003.
My co-workers and I,"do not have much contact. As an adjunct in the department I am on the periphery, plus I work remotely, so am not co-located.  ",3.5,a,4.5,3423,7,38,03423.007.
When I am nervous,I typically do better.,3.5,a,3.5,2155,33,33,02155.033.
When they avoided me,I watched my embodied response. And they kept on their way.,3.5,a,5.5,2845,17,17,02845.017.
I just can't stand people who,constantly interrupt others to bring the conversation back to them all the time. Good listening is rare these days......,3.5,a,4.5,2150,21,21,02150.021.
Crime and delinquency could be halted if,If we defined no crime and no delinquency.,3.5,a,5.5,1806,19,19,01806.019.
My conscience bothers me if,I harm someone or if I am afraid I have harmed someone.,3.5,a,4.5,2795,35,35,02795.035.
Change is,good. Sometime it may not seem like it at the time when is happening but looking back after you can see it differently.,4.0,p,3.5,2035,3,3,02035.003.
Loving other people,is what makes life real and meaningful. Community through love is where reality is created.,4.0,p,4.0,2431,5,85,02431.005.
Education,is a lifelong joy and is necessary for continued growth.,4.0,p,4.5,1754,9,9,01754.009.
I am,a multifaceted and ever-changing individual.,4.0,p,3.5,2661,23,23,02661.023.
I am,hungry and excited to make a fresh and hot pumpkin soup which was drawn into this awareness I call mine by someone yesterday.,4.0,p,5.5,3339,23,23,03339.023.
Rules,are important to understand and sometimes important to break.,4.0,p,4.0,1688,18,42,01688.018.
The past,"might be considered a richly textured tapestry to be looked at, honored, remembered, forgotten, and learned from in different ways at different times.",4.0,p,4.0,1884,14,14,01884.014.
If I can't get what I want,I let go and be with what is unfolding.,4.0,p,4.5,1876,32,32,01876.032.
Privacy,"is respecting the benefits of having quiet, reflective times, away from sometimes overwhelming social interactions.",4.0,p,4.5,2883,15,41,02883.015.
What I like to do best is,"To be in the outdoors and to be active.  My favourite days are skiiing or hiking when you feel at one with nature, that you have earned your dinner and sleep well because you are physically tired.  ",4.0,p,4.5,3402,11,39,03402.011.
When I am nervous,"My biology unconsciously and consciously overwhelms all other parts of me, gotta love being a human!",4.0,p,5.0,2854,33,33,02854.033.
Technology,Is both removed from what is fundamental and essential to finding it. It seems to be a device that is neither good or bad and yet reflects the users predilections and proclivities.,4.0,p,4.5,1890,34,47,01890.034.
I am,not sure who I am right now.,4.0,p,4.0,1761,23,23,01761.023.
A good boss,"will not just praise when things are good, but encourage us when things are rough. A good boss does not see herself as above, but equal to.",4.0,p,3.5,2407,12,12,02407.012.
If my mother,"was alive today, I'd sit on a bench at our favourite beach and ask her what her life really felt like to her. I'd ask her about motherhood. And I'd tell her how much I love her",4.0,p,4.0,1728,29,29,01728.029.
Education,"is important to have if someone wants to be middle class these days, but it doesn't guarantee it. The education system is too narrow and expensive, however degree's matter these days.",4.0,p,4.5,2044,9,9,02044.009.
My father,Was a great guy who tought me how to love big and when thinking back still makes me get a smile on my face,4.0,p,4.0,2319,31,31,02319.031.
Education,"is one way to develop skills, knowledge and growth.  experience is another.",4.0,p,3.5,2856,9,9,02856.009.
Raising a family,is the most incredible adventure I've been on. It has expanded me beyond anything I'd have imagined possible and it gives me continuous opportunities for growth. ,4.0,p,4.5,2794,1,1,02794.001.
My main problem is,"Not being content, and enjoying now.  ",4.0,p,3.5,2169,25,25,02169.025.
My conscience bothers me if,I know I have said something or done something I should not have and I look for ways to justify my comment or action to placate my sub conscience,4.5,a,3.0,2609,35,35,02609.035.
When they avoided me,"I observed that I was being avoided, and noted to follow up and try to understand why. My first emotional reaction is to be sad but logically I know they could be avoiding me for many reasons.",4.5,a,4.5,3239,17,17,03239.017.
Sometimes I wish that,making the world better would be easier and evolutionary development go faster. Its a dream....,4.5,a,4.5,3379,36,48,03379.036.
I am,a human being who is consciously allowing life to unfold within me. I love to make meaning and feel the evolving wave. ,4.5,a,4.5,2283,23,23,02283.023.
These days progress means,"moving to more sustainable use of resources and population growth and changing economic models to reverse the increasing social divide, reduce poverty and improve population wellbeing.",4.5,a,4.5,2903,4,68,02903.004.
Crime and delinquency could be halted if,"I don't have a solution, but I think it has to do with creating good environments for kids to grow up, which is complex and involves a lot of aspects.",4.5,a,4.5,2386,19,19,02386.019.
My co-workers and I,have established mutual respect and a two-way flow of information and ideas.,4.5,a,4.5,2292,7,38,02292.007.
At times I worry about,not seeing and embodying the truth. ,4.5,a,4.5,3425,22,43,03425.022.
A good boss,"helps his-her subordinates to do their best, knows how to orchestrate the contributions of different members of the team, and is decisive without being rigid",4.5,a,4.0,1577,12,12,01577.012.
What I like to do best is,"experience the flow of creating, unfolding, learning, teaching, or being.",4.5,a,5.0,2860,11,39,02860.011.
People who step out of line,"are doing so for a reason. I want to understand what's going on. Life can get hard, let's help each other through this.",4.5,a,4.5,3450,27,45,03450.027.
Change is,often quite hard for me if what is changing has been or currently is important in my life. I am learning that nothing is permanent and therefore I am making efforts to embrace change.,4.5,a,4.5,3303,3,3,03303.003.
What I like to do best is,find myself deeply engaged in acts of expression.,4.5,a,5.0,2686,11,39,02686.011.
The thing I like about myself is,above all else I love to learn by connecting deeply with life and others. I am open to the present and to whatever I am able to mine from what the future offers.,4.5,a,5.0,1894,6,6,01894.006.
Rules,", their necessity and their impact, are different for different perspectives and places from which we see.",4.5,a,4.5,3106,18,42,03106.018.
Crime and delinquency could be halted if,humankind could overcome its cancerous grasping mentality,4.5,a,4.5,2056,19,19,02056.019.
A good boss,creates an environment in which you can succeed then gets out of the way so you can make it happen.,4.5,a,4.5,1725,12,12,01725.012.
When I get mad,I must be pretty powerful and overwhelming. I can also be powerful and overwhelming when I express any emotional content.,4.5,a,4.5,1890,26,26,01890.026.
I feel sorry,for those who are suffering because they don't have sufficient perspective to understand their situation from a higher perspective.,4.5,a,4.5,1953,16,16,01953.016.
Crime and delinquency could be halted if,We had the space for healing. For knowing ourselves. For evolving spiritually.,4.5,a,4.5,1885,19,19,01885.019.
A healthy person,"takes care of their body, mind and spirit and are able to share and contribute to others while feeling the joy of life and coping with the losses of life. ",5.0,p,4.5,2283,12,52,02283.012.
The past,"is a reflection that often gives us the impression, that we are, who we are, although we are, what we ever were and always will be at the same time as we are, what we will become in the future.",5.0,p,5.0,3184,14,14,03184.014.
The past,is a mesmerizing illusion.,5.0,p,4.5,3434,14,14,03434.014.
"These days, work","is a blessing, a curse, a love, a drag, a paycheck, an opportunity for growth, play, and a desire to create an awesome life while contributing to the whole of humanity, family, and Self.",5.0,p,5.0,3487,4,37,03487.004.
"These days, work",ing   work on  work out  work through  work around  work-it (girl)   work in  work day  work night  work-play-life-right-here-right-now  :),5.0,p,5.5,1951,4,37,01951.004.
If I can't get what I want,"i'm frustrated, and sometimes feel sorry for myself. and then i examine wanting itself. what i really want is not to want anymore. wanting is not getting or receiving. funny how that works.",5.0,p,5.0,1904,32,32,01904.032.
I just can't stand people who,know exactly how things are -- who cannot imagine that their experience is not shared.,5.0,p,5.5,1813,21,21,01813.021.
What I like to do best is,doingbeinghearingseeingbreathingyesandyesandyesandopeningclosingwordsdefythisbeinginrelationshipwiththepulseoflifewithinaroundthroughout,5.0,p,5.5,1785,11,39,01785.011.
Business and society,Are interlinked.  Business drives society and society drives business. They are both constructs.,5.0,p,4.0,2180,20,44,02180.020.
At times I worry about,"I don't tend to worry much. What arises is part of the wholeness of my experiences and being and I hold concerns lightly, seeing their emptiness. ",5.0,p,5.0,2250,22,43,02250.022.
The thing I like about myself is,my eyes because they remind me that I am eternal and finite as they are the culmination of billions of years and at the same time the end point of an iteration.,5.0,p,5.5,2607,6,6,02607.006.
Privacy,is not something i care too much about . .. all can be seen by those who know how to look. ,5.0,p,5.0,3160,15,41,03160.015.
When they avoided me,"my guess is that it is me avoiding them, just a reflection of myself.",5.0,p,5.5,1804,17,17,01804.017.
What I like to do best is,"be in a complete experience of effortless flow and evolution with myself, others and the universe.",5.0,p,4.5,1831,11,39,01831.011.
Business and society,Exist but don't really exist. They are ways of doing.,5.0,p,5.0,3245,20,44,03245.020.
Education,"comes in all forms. Formal, street smarts, relationships, experience, with age and more.   ",5.0,p,5.0,3410,9,9,03410.009.
A good boss,A G O O D B O S S                                 SO DO AS BOG  A GO ASS DOBO  O AS DOG SOB,5.0,p,5.5,1951,12,12,01951.012.
I feel sorry,", no, sorrow, necessary actions in an evolving and involving world, how wrong we need to be to get it healthier, sorrow and joy of the process. disastrously delightfully sorry.",5.0,p,5.5,1731,16,16,01731.016.
The past,Simultaneously non-existant a construct of memory - recording and a historical reference for learning so we don't repeat the same blasted mistakes.,5.0,p,4.5,2394,14,14,02394.014.
The thing I like about myself is,"that I look quite pretty.., my achiever.., that I can abstract things get together und much much more  on the other hand I know that everything I said before is an illusion",5.0,p,5.0,3342,6,6,03342.006.
Being with other people,is like watching life itself unfold through the ages.,5.5,a,6.0,1823,5,5,01823.005.
If I had more money,I might be prematurely relieved of the curriculum to finally once and for all believe my manifest fullness and to let go of the arrogance of distinction making. ,5.5,a,6.5,2338,24,24,02338.024.
Sometimes I wish that,that every being could see what already is  that the I could vanish into rain and wind    ,5.5,a,5.5,3223,36,48,03223.036.
Sometimes I wish that,"the story would be just a little looser, that I could slide story on when I needed it and let it slip off when I didn't, walk around as the universe and as Levi freely. ",5.5,a,5.5,2215,36,48,02215.036.
Business and society,"are beautifully intertwined, each defining and contributing to the other, forming a fractal in the relentless and effortless unfolding of all forms of life.",5.5,a,6.0,1791,20,44,01791.020.
When I am nervous, awareness embraces experience with a loving attunement that helps the disorganization repattern itself.,5.5,a,5.5,2893,33,33,02893.033.
I just can't stand people who,I just can't stand people who stand people on just I and then I can't stand the people I am sometimes and when I stand as I and can't people myself out of the person I am. ,5.5,a,5.5,2619,21,21,02619.021.
Sometimes I wish that,that every being could see what already is  that the I could vanish into rain and wind    ,5.5,a,5.5,3223,36,48,03223.036.
My conscience bothers me if,"I don't clean up the messes I make as an imperfect human whose greed, anger and delusion arises from the beginningless past!",5.5,a,5.0,1765,35,35,01765.035.
I just can't stand people who,"I perceive this is a creation of a human mind constructed for holding projections, also holding my conditioning which show me we and people who sniff and snort instead of blowing their nose.",5.5,a,5.5,1805,21,21,01805.021.
Rules,everybody seems to abide look different when you loose their context.,5.5,a,5.0,1993,18,42,01993.018.
I feel sorry,"when I fail to be gentle with the delicate crusts, the cryptobiotic soils of others Worlds that have taken aeons to form and take only a single moment to trample.",5.5,a,5.5,1806,16,16,01806.016.
I am,"I am having trouble knowing what I am, this or that, us or me, and sometimes, quite simply, I am easy in love with the shape-shifting we flowing through me. ",5.5,a,5.5,2619,23,23,02619.023.
My co-workers and I,move in a way that allows humanity-the universe to evolve into a more synchrones being.,5.5,a,5.5,1804,7,38,01804.007.
My conscience bothers me if,"I don't clean up the messes I make as an imperfect human whose greed, anger and delusion arises from the beginningless past!",5.5,a,5.0,1765,35,35,01765.035.
Being with other people,is attunement of a cacophony of frequencies that leads to a new harmonic tune.,5.5,a,5.0,3409,5,5,03409.005.
These days progress means,letting go while driving forward; finding control in surrender; enjoying connection in autonomy; and playing with too many other polarities and paradoxes to count...,5.5,a,5.5,3146,4,68,03146.004.
If I had more money,"I would share more broadly among so many in need and to what would help catalyze transformation, with an eye to the impact of morphic resonance",5.5,a,6.5,1889,24,24,01889.024.
Change is,"one pole I use to discriminate flow, link states of being with others, to communicate differences.",5.5,a,5.0,2686,3,3,02686.003.
Privacy,"is a concept that belongs to the sphere of a separate ego. Every time I feel my privacy is being threatened, (which is more often in today's world) I realize the peculiar tug of separateness.",5.5,a,5.0,1758,15,41,01758.015.
Being with other people,Is a mutually mutating meeting of universes ,6.0,p,5.5,1665,5,5,01665.005.
Raising a family,"is love swimming in all of creation, a living documentary of evolution cascading through consciousness, seemingly an isolated group expressing that from which it came which is at One with the kosmos.",6.0,p,6.5,3151,1,1,03151.001.
Raising a family,"involves embracing love and patience with the entire family, which is he whole spectrum of creation",6.0,p,6.5,1889,1,1,01889.001.
What I like to do best is,employ useless concentration while dancing with the universe. ,6.0,p,5.5,3287,11,39,03287.011.
I am,...here. And lost inside of everyone and everything else. Lost isn't the right word though. There? Nowhere?,6.0,p,5.5,3227,23,23,03227.023.
What gets me into trouble is,Falling from eternity and spaciousness into contraction and then forgetting that this is also eternity manifesting sometimes as frustration and judgement.,6.0,p,6.5,3151,8,8,03151.008.
Sometimes I wish that,"I could see what's ahead.. but when I close my eyes to look, life's movement is there, playing... and a different way of knowing arises.",6.0,p,6.0,1823,36,48,01823.036.
I just can't stand people who,"..searching for how to respond...so sad for abuse of animals, children, anyone...so distressed by violence, war..everything is perfect...is not two..no answer",6.0,p,6.5,1889,21,21,01889.021.
When they avoided me,I was reminded of my school years. Loneliness and rejection like a light moved through the vastness of the I-we space and collapsed into eternal presence. Ultimately there is no avoidance in unity.,6.0,p,6.5,3151,17,17,03151.017.
Raising a family,"is love swimming in all of creation, a living documentary of evolution cascading through consciousness, seemingly an isolated group expressing that from which it came which is at One with the kosmos.",6.0,p,6.5,3151,1,1,03151.001.
My father,was a thread of eternity through the instant of fullness that is the last 14 billion years. ,6.0,p,6.0,2182,31,31,02182.031.
Education,"isn't education if it's isn't whole, and reflective of creation from the infinite possibilities of the universes to the subatomic atom in my finger.",6.0,p,4.5,1959,9,9,01959.009.
My main problem is,"No problem at all, just that this Life is a Blink of an Eye in the Universe, and I can't quite let go of this little one yet.",6.0,p,5.5,3212,25,25,03212.025.
I am,all of it and a piece of protoplasm spinning on a dirt ball!  ,6.0,p,4.5,2349,23,23,02349.023.
What I like to do best is,employ useless concentration while dancing with the universe. ,6.0,p,5.5,3287,11,39,03287.011.
Raising a family,"has helped me grow into an awareness of devoted love of all manifestations of the devine etherial field, concretely, psyco-socially, ethereally.",6.0,p,6.5,1814,1,1,01814.001.
Raising a family,"involves embracing love and patience with the entire family, which is he whole spectrum of creation",6.0,p,6.5,1889,1,1,01889.001.
Education,"isn't education if it's isn't whole, and reflective of creation from the infinite possibilities of the universes to the subatomic atom in my finger.",6.0,p,4.5,1959,9,9,01959.009.
My co-workers and I,"arise together, knowing and not knowing, roles arising and falling away, out of which life itself creates anew, carrying our dance like seeds in a breeze.",6.0,p,6.0,1823,7,38,01823.007.
Rules,"are playfully necessary as a stepping stone for the consciousness of humanity and the consciousness creating it, until it reaches the fullness of unity which is All of this anyway.",6.0,p,6.5,3151,18,42,03151.018.
Education,"is invaluable, which is grounded in the wisdom of the mind, even if that mind is constructed even if Mind is ultimately not grounded -",6.5,a,6.5,1889,9,9,01889.009.
If my mother,and father find their full divine embrace within me the evolution-involution of the kosmos are one - endless births and deaths arise out of My Mind,6.5,a,6.5,1889,29,29,01889.029.
When I am criticized,noticing that I see an awareness of a slight twinge,6.5,a,6.5,1889,2,2,01889.002.
Rules,"are first a gift, then a nuisance, then a perspective, then a construction - ultimately as much a product of Mind as anything else.",6.5,a,6.5,1889,18,42,01889.018.
If I can't get what I want,"-don't want...reflects the dynamics of an imaginary self, a source of suffering that I am aware that I can see that I witness",6.5,a,6.5,1889,32,32,01889.032.
People who step out of line,have the gift of line no more of endless creation..,6.5,a,6.5,1889,27,45,01889.027.
When I get mad,I watch it happen and am in wonder in seeing popping into view the remnants of primitive parts that are still hanging out,6.5,a,6.5,1889,26,26,01889.026.
My conscience bothers me if,the human form-consicousness separates from the One even for a moment.,6.5,a,6.0,2721,35,35,02721.035.
If my mother,and father find their full divine embrace within me the evolution-involution of the kosmos are one - endless births and deaths arise out of My Mind,6.5,a,6.5,1889,29,29,01889.029.
My conscience bothers me if,the human form-consicousness separates from the One even for a moment.,6.5,a,6.0,2721,35,35,02721.035.
My conscience bothers me if,the human form-consicousness separates from the One even for a moment.,6.5,a,6.0,2721,35,35,02721.035.
When I get mad,I watch it happen and am in wonder in seeing popping into view the remnants of primitive parts that are still hanging out,6.5,a,6.5,1889,26,26,01889.026.
The past,"is one more construction, one more creation of Mind. How very beautiful",6.5,a,6.5,1889,14,14,01889.014.
I am,"grateful for the utter beauty of all that arises moment to moment even the suffering, and for the pure emptiness, their complete interpenetration into empty-fulnesss...ahh...",6.5,a,6.5,1889,23,23,01889.023.
My main problem is,"(more direction of attention) is wondering what arises beyond all separation, when the last vestiges of I-ness collapses",6.5,a,6.5,1889,25,25,01889.025.
Education,"is invaluable, which is grounded in the wisdom of the mind, even if that mind is constructed even if Mind is ultimately not grounded -",6.5,a,6.5,1889,9,9,01889.009.
When I am criticized,noticing that I see an awareness of a slight twinge,6.5,a,6.5,1889,2,2,01889.002.
Raising a family,"Love enlivens reality through Kosmic expression of form through Awarness. In this light family is an expression of this Kosmic display of yin and yang, love and wisdom, fullness and freedom.",6.5,a,6.0,2721,1,1,02721.001.
Education,"is invaluable, which is grounded in the wisdom of the mind, even if that mind is constructed even if Mind is ultimately not grounded -",6.5,a,6.5,1889,9,9,01889.009.
Education,"is invaluable, which is grounded in the wisdom of the mind, even if that mind is constructed even if Mind is ultimately not grounded -",6.5,a,6.5,1889,9,9,01889.009.
