UID,prompt_number,prompt_id,clause_num,num_clauses,num_words,respScore,PassAct,clauses_text_final,prompt,response,voice,ClauseCutOK?,AP_OK?,AP_rule,Comments
02783.031.00,31,31,0,1,4,2.0,p,['is unknown to me'],My father,is unknown to me,['P_bevb_x'],,,,
02783.031.01,,,1,,,2.0,,is unknown to me,,,P_bevb_x,,,,
02545.027.00,27,98,0,2,12,2.0,p,"['if it s to push in front of someone', 'I wouldn']",Children who step out of line,if it's to push in front of someone I wouldn't like that,"['A_def', 'P_bevb_x']",,,,
02545.027.01,,,1,,,2.0,,if it s to push in front of someone,,,A_def,,,,
02545.027.02,,,2,,,2.0,,I wouldn,,,P_bevb_x,,,,
02807.016.00,16,16,0,1,3,2.0,p,['for durg addicts'],I feel sorry,for durg addicts. ,['Undefined'],,,,
02807.016.01,,,1,,,2.0,,for durg addicts,,,Undefined,,,,
02505.023.00,23,23,0,2,6,2.0,p,"['sorry for', 'stepping on your toe']",I am,sorry for stepping on your toe,"['Undefined', 'A_pron_x']",,,,
02505.023.01,,,1,,,2.0,,sorry for,,,Undefined,,,,
02505.023.02,,,2,,,2.0,,stepping on your toe,,,A_pron_x,,,,
02542.006.00,6,6,0,1,4,2.0,p,['that I am friendly'],The thing I like about myself is,that I am friendly,['P_bevb_x'],,,,
02542.006.01,,,1,,,2.0,,that I am friendly,,,P_bevb_x,,,,
02504.031.00,31,31,0,1,3,2.0,p,['gives you treats'],My father,gives you treats,['A_def'],,,,
02504.031.01,,,1,,,2.0,,gives you treats,,,A_def,,,,
02550.033.00,33,33,0,4,10,2.0,p,"['I don', 't really get nervous', 'so I don t', 'really know']",When I am nervous,I don't really get nervous so I don't really know,"['P_bevb_x', 'A_def', 'P_bevb_x', 'A_def']",,,,
02550.033.01,,,1,,,2.0,,I don,,,P_bevb_x,,,,
02550.033.02,,,2,,,2.0,,t really get nervous,,,A_def,,,,
02550.033.03,,,3,,,2.0,,so I don t,,,P_bevb_x,,,,
02550.033.04,,,4,,,2.0,,really know,,,A_def,,,,
02806.015.00,15,41,0,1,4,2.0,p,['gets people in trouble'],Privacy,gets people in trouble.,['P_get_x'],,,,
02806.015.01,,,1,,,2.0,,gets people in trouble,,,P_get_x,,,,
02779.019.00,19,19,0,1,4,2.0,p,['we were all babies'],Crime and delinquency could be halted if,we were all babies. ,['P_bevb_x'],,,,
02779.019.01,,,1,,,2.0,,we were all babies,,,P_bevb_x,,,,
02546.033.00,33,33,0,2,8,2.0,p,"['I get', 'my tummy gets sick kind of']",When I am nervous,I get my tummy gets sick kind of.,"['P_get_x', 'A_pron_x']",,,,
02546.033.01,,,1,,,2.0,,I get,,,P_get_x,,,,
02546.033.02,,,2,,,2.0,,my tummy gets sick kind of,,,A_pron_x,,,,
02532.015.00,15,41,0,1,9,2.0,p,['when I am in the shower I like privacy'],Privacy,when I am in the shower I like privacy.,['P_bevb_x'],,,,
02532.015.01,,,1,,,2.0,,when I am in the shower I like privacy,,,P_bevb_x,,,,
01864.018.00,18,42,0,1,5,2.0,p,['are meant to be broken'],Rules,are meant to be broken.,['P_bevb_x'],,,,
01864.018.01,,,1,,,2.0,,are meant to be broken,,,P_bevb_x,,,,
02551.015.00,15,41,0,3,15,2.0,p,"['I have a sister and', 'sometimes I WANT HER', 'TO BE OUT OF MY SPACE']",Privacy,I have a sister and sometimes I WANT HER TO BE OUT OF MY SPACE.,"['P_bevb_x', 'A_def', 'P_bevb_x']",,,,
02551.015.01,,,1,,,2.0,,I have a sister and,,,P_bevb_x,,,,
02551.015.02,,,2,,,2.0,,sometimes I WANT HER,,,A_def,,,,
02551.015.03,,,3,,,2.0,,TO BE OUT OF MY SPACE,,,P_bevb_x,,,,
02807.033.00,33,33,0,1,3,2.0,p,['I get fitchetty'],When I am nervous,I get fitchetty. ,['P_get_x'],,,,
02807.033.01,,,1,,,2.0,,I get fitchetty,,,P_get_x,,,,
02536.003.00,3,91,0,2,4,2.0,p,"['make', 'me feel happy']",Grandparents,make me feel happy,"['A_def', 'A_def']",,,,
02536.003.01,,,1,,,2.0,,make,,,A_def,,,,
02536.003.02,,,2,,,2.0,,me feel happy,,,A_def,,,,
02807.019.00,19,19,0,1,4,2.0,p,['The world was sinless'],Crime and delinquency could be halted if,The world was sinless.,['P_bevb_x'],,,,
02807.019.01,,,1,,,2.0,,The world was sinless,,,P_bevb_x,,,,
02550.011.00,11,39,0,4,14,2.0,p,"['lots of different things', 'making paper planes', 'running playing soccer', 'riding my bike scooter']",What I like to do best is,"lots of different things, making paper planes, running, playing soccer, riding my bike, scooter","['Undefined', 'A_def', 'A_def', 'A_pron_x']",,,,
02550.011.01,,,1,,,2.0,,lots of different things,,,Undefined,,,,
02550.011.02,,,2,,,2.0,,making paper planes,,,A_def,,,,
02550.011.03,,,3,,,2.0,,running playing soccer,,,A_def,,,,
02550.011.04,,,4,,,2.0,,riding my bike scooter,,,A_pron_x,,,,
02513.021.00,21,21,0,2,10,2.0,p,"['are very annoying and', 'do silly stuff in the class']",I just can't stand people who,are very annoying and do silly stuff in the class.,"['P_bevb_x', 'P_bevb_x']",,,,
02513.021.01,,,1,,,2.0,,are very annoying and,,,P_bevb_x,,,,
02513.021.02,,,2,,,2.0,,do silly stuff in the class,,,P_bevb_x,,,,
02355.032.00,32,32,0,2,9,2.5,a,"['I just work harder at it', 'until I do']",If I can't get what I want,I just work harder at it until I do.,"['A_def', 'P_bevb_x']",,,,
02355.032.01,,,1,,,2.5,,I just work harder at it,,,A_def,,,,
02355.032.02,,,2,,,2.5,,until I do,,,P_bevb_x,,,,
03178.033.00,33,33,0,2,7,2.5,a,"['I remain calm and', 'don t show it']",When I am nervous,I remain calm and don't show it.,"['A_def', 'P_bevb_x']",,,,
03178.033.01,,,1,,,2.5,,I remain calm and,,,A_def,,,,
03178.033.02,,,2,,,2.5,,don t show it,,,P_bevb_x,,,,
01529.035.00,35,35,0,2,7,2.5,a,"['I am in it', 'Something goes wrong']",My conscience bothers me if,Something I am in it goes wrong,"['P_bevb_x', 'A_def']",,,,
01529.035.01,,,1,,,2.5,,I am in it,,,P_bevb_x,,,,
01529.035.02,,,2,,,2.5,,Something goes wrong,,,A_def,,,,
02601.033.00,33,33,0,1,6,2.5,a,['I tend to clean and organize'],When I am nervous,I tend to clean and organize.,['A_def'],,,,
02601.033.01,,,1,,,2.5,,I tend to clean and organize,,,A_def,,,,
01983.032.00,32,32,0,2,6,2.5,a,"['I work harder', 'until I do']",If I can't get what I want,I work harder until I do.,"['A_def', 'P_bevb_x']",,,,
01983.032.01,,,1,,,2.5,,I work harder,,,A_def,,,,
01983.032.02,,,2,,,2.5,,until I do,,,P_bevb_x,,,,
02786.016.00,16,16,0,2,7,2.5,a,"['about', 'not being there for my family']",I feel sorry,about not being there for my family ,"['Undefined', 'A_pron_x']",,,,
02786.016.01,,,1,,,2.5,,about,,,Undefined,,,,
02786.016.02,,,2,,,2.5,,not being there for my family,,,A_pron_x,,,,
02829.011.00,11,39,0,3,6,2.5,a,"['spend time with those', 'spend time with those', 'I love']",What I like to do best is,spend time with those I love.,"['A_def', 'A_def', 'A_def']",,,,
02829.011.01,,,1,,,2.5,,spend time with those,,,A_def,,,,
02829.011.02,,,2,,,2.5,,spend time with those,,,A_def,,,,
02829.011.03,,,3,,,2.5,,I love,,,A_def,,,,
02648.029.00,29,29,0,2,7,2.5,a,"['ever bragged about me', 'I d kill her']",If my mother,"ever bragged about me, I'd kill her!","['A_def', 'A_def']",,,,
02648.029.01,,,1,,,2.5,,ever bragged about me,,,A_def,,,,
02648.029.02,,,2,,,2.5,,I d kill her,,,A_def,,,,
02505.035.00,35,35,0,1,5,2.5,a,['when I accidentally hurt Chattie'],My conscience bothers me if,when I accidentally hurt Chattie. ,['A_def'],,,,
02505.035.01,,,1,,,2.5,,when I accidentally hurt Chattie,,,A_def,,,,
01841.033.00,33,33,0,2,7,2.5,a,"['my palms sweat and', 'my stomach hurts']",When I am nervous,my palms sweat and my stomach hurts,"['A_pron_x', 'A_pron_x']",,,,
01841.033.01,,,1,,,2.5,,my palms sweat and,,,A_pron_x,,,,
01841.033.02,,,2,,,2.5,,my stomach hurts,,,A_pron_x,,,,
02540.013.00,13,40,0,5,17,2.5,a,"['if people didn', 't ruin it by', 'building buildings', 'where if people didn', 'every t ruin the whole world']",We could make the world a better place if,"if people didn't ruin it by building buildings every where, if people didn't ruin the whole world","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",,,,
02540.013.01,,,1,,,2.5,,if people didn,,,P_bevb_x,,,,
02540.013.02,,,2,,,2.5,,t ruin it by,,,A_def,,,,
02540.013.03,,,3,,,2.5,,building buildings,,,A_def,,,,
02540.013.04,,,4,,,2.5,,where if people didn,,,P_bevb_x,,,,
02540.013.05,,,5,,,2.5,,every t ruin the whole world,,,A_def,,,,
02807.017.00,17,17,0,1,3,2.5,a,['I questioned myself'],When they avoided me,I questioned myself. ,['A_def'],,,,
02807.017.01,,,1,,,2.5,,I questioned myself,,,A_def,,,,
02012.030.00,30,30,0,2,12,2.5,a,"['i would do', 'the first thing is buying house to my mom']",If I were in charge,the first thing i would do is buying house to my mom.,"['P_bevb_x', 'A_pron_x']",,,,
02012.030.01,,,1,,,2.5,,i would do,,,P_bevb_x,,,,
02012.030.02,,,2,,,2.5,,the first thing is buying house to my mom,,,A_pron_x,,,,
02546.030.00,30,30,0,2,23,2.5,a,"['I would just give the opportunity to one of my parents someone older than me', 'I m not really old enough to stay in charge']",If I were in charge,I would  just give the opportunity to one of my parents...someone older than me I'm not really old enough to stay in charge.,"['A_pron_x', 'A_def']",,,,
02546.030.01,,,1,,,2.5,,I would just give the opportunity to one of my parents someone older than me,,,A_pron_x,,,,
02546.030.02,,,2,,,2.5,,I m not really old enough to stay in charge,,,A_def,,,,
02774.030.00,30,30,0,1,6,2.5,a,['I would slow things way down'],If I were in charge,I would slow things way down.,['P_bevb_x'],,,,
02774.030.01,,,1,,,2.5,,I would slow things way down,,,P_bevb_x,,,,
03441.024.00,24,24,0,3,24,2.5,a,"['it would be easier to pay the payments for my retirement insurance', 'I would renewe some of our windows', 'where the wind blows in']",If I had more money,"it would be easier to pay the payments for my retirement insurance  I would renewe some of our windows, where the wind blows in","['A_pron_x', 'A_pron_x', 'A_def']",,,,
03441.024.01,,,1,,,2.5,,it would be easier to pay the payments for my retirement insurance,,,A_pron_x,,,,
03441.024.02,,,2,,,2.5,,I would renewe some of our windows,,,A_pron_x,,,,
03441.024.03,,,3,,,2.5,,where the wind blows in,,,A_def,,,,
02701.019.00,19,19,0,1,5,2.5,a,['people were loved as kids'],Crime and delinquency could be halted if,people were loved as kids,['P_bevb_x'],,,,
02701.019.01,,,1,,,2.5,,people were loved as kids,,,P_bevb_x,,,,
01526.022.00,22,43,0,1,9,2.5,a,['my children my home and now also my business'],At times I worry about,"my children, my home and now also my business",['Undefined'],,,,
01526.022.01,,,1,,,2.5,,my children my home and now also my business,,,Undefined,,,,
01663.035.00,35,35,0,1,8,2.5,a,['I have done something wrong to someone else'],My conscience bothers me if,I have done something wrong to someone else.,['P_bevb_x'],,,,
01663.035.01,,,1,,,2.5,,I have done something wrong to someone else,,,P_bevb_x,,,,
02670.010.00,10,10,0,3,9,2.5,a,"['I feel bad', 'I hate', 'when I feel like']",When people are helpless,I feel bad. I hate when I feel like,"['P_get_x', 'A_def', 'P_get_x']",,,,
02670.010.01,,,1,,,2.5,,I feel bad,,,P_get_x,,,,
02670.010.02,,,2,,,2.5,,I hate,,,A_def,,,,
02670.010.03,,,3,,,2.5,,when I feel like,,,P_get_x,,,,
01663.022.00,22,43,0,1,9,3.0,p,['being able to support my family financially and emotionally'],At times I worry about,being able to support my family financially and emotionally.,['A_pron_x'],,,,
01663.022.01,,,1,,,3.0,,being able to support my family financially and emotionally,,,A_pron_x,,,,
02333.027.00,27,45,0,1,7,3.0,p,['should be dealt with behind closed doors'],People who step out of line,should be dealt with behind closed doors.,['P_bevb_x'],,,,
02333.027.01,,,1,,,3.0,,should be dealt with behind closed doors,,,P_bevb_x,,,,
02688.024.00,24,24,0,1,12,3.0,p,['I would feel less constrained to travel to see my grown children'],If I had more money,I would feel less constrained to travel to see my grown children.,['A_pron_x'],,,,
02688.024.01,,,1,,,3.0,,I would feel less constrained to travel to see my grown children,,,A_pron_x,,,,
02559.009.00,9,9,0,2,6,3.0,p,"['is opportunity', 'for people to grow']",Education,is opportunity for people to grow,"['P_bevb_x', 'A_def']",,,,
02559.009.01,,,1,,,3.0,,is opportunity,,,P_bevb_x,,,,
02559.009.02,,,2,,,3.0,,for people to grow,,,A_def,,,,
03380.026.00,26,26,0,1,6,3.0,p,['I am completely ineffective and irrational'],When I get mad,I am completely ineffective and irrational,['P_bevb_x'],,,,
03380.026.01,,,1,,,3.0,,I am completely ineffective and irrational,,,P_bevb_x,,,,
02187.034.00,34,47,0,3,19,3.0,p,"['is a friend of mine at long last', 'It s the tool', 'that brings my work out into the world']",Technology,is a friend of mine at long last.  It's the tool that brings my work out into the world. ,"['P_bevb_x', 'A_def', 'A_pron_x']",,,,
02187.034.01,,,1,,,3.0,,is a friend of mine at long last,,,P_bevb_x,,,,
02187.034.02,,,2,,,3.0,,It s the tool,,,A_def,,,,
02187.034.03,,,3,,,3.0,,that brings my work out into the world,,,A_pron_x,,,,
02047.009.00,9,9,0,5,25,3.0,p,"['Fills me with a sense of joy', 'I enjoy learning new things', 'I find and', 'that are of interest', 'enable me to feel more whole']",Education,Fills me with a sense of joy. I enjoy learning new things that I find are of interest and enable me to feel more whole.,"['A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",,,,
02047.009.01,,,1,,,3.0,,Fills me with a sense of joy,,,A_def,,,,
02047.009.02,,,2,,,3.0,,I enjoy learning new things,,,A_def,,,,
02047.009.03,,,3,,,3.0,,I find and,,,A_def,,,,
02047.009.04,,,4,,,3.0,,that are of interest,,,P_bevb_x,,,,
02047.009.05,,,5,,,3.0,,enable me to feel more whole,,,A_def,,,,
02306.005.00,5,5,0,1,3,3.0,p,['is great socially'],Being with other people,is great socially,['P_bevb_x'],,,,
02306.005.01,,,1,,,3.0,,is great socially,,,P_bevb_x,,,,
03366.015.00,15,41,0,1,9,3.0,p,['Is essential and a form of respect for individuals'],Privacy,Is essential and a form of respect for individuals,['P_bevb_x'],,,,
03366.015.01,,,1,,,3.0,,Is essential and a form of respect for individuals,,,P_bevb_x,,,,
03492.034.00,34,47,0,3,14,3.0,p,"['is here and', 'to stay', 'can be our best friend but our worst enemy']",Technology,is here to stay and can be our best friend but our worst enemy ,"['P_bevb_x', 'A_def', 'A_pron_x']",,,,
03492.034.01,,,1,,,3.0,,is here and,,,P_bevb_x,,,,
03492.034.02,,,2,,,3.0,,to stay,,,A_def,,,,
03492.034.03,,,3,,,3.0,,can be our best friend but our worst enemy,,,A_pron_x,,,,
01796.035.00,35,35,0,1,5,3.0,p,['my conscience bothers me Yep'],My conscience bothers me if,my conscience bothers me. Yep.,['A_pron_x'],,,,
01796.035.01,,,1,,,3.0,,my conscience bothers me Yep,,,A_pron_x,,,,
02359.019.00,19,19,0,1,8,3.0,p,['if values and morals are instilled in children'],Crime and delinquency could be halted if,if values and morals are instilled in children.,['P_bevb_x'],,,,
02359.019.01,,,1,,,3.0,,if values and morals are instilled in children,,,P_bevb_x,,,,
03507.023.00,23,23,0,1,2,3.0,p,['Mostly optimistic'],I am,Mostly optimistic,['Undefined'],,,,
03507.023.01,,,1,,,3.0,,Mostly optimistic,,,Undefined,,,,
01666.007.00,7,7,0,1,8,3.0,p,['were both different and similar in some ways'],My mother and I,were both different and similar in some ways.,['P_bevb_x'],,,,
01666.007.01,,,1,,,3.0,,were both different and similar in some ways,,,P_bevb_x,,,,
02825.031.00,31,31,0,2,7,3.0,p,"['is a great man', 'whom I admire']",My father,"is a great man, whom I admire.","['P_bevb_x', 'A_def']",,,,
02825.031.01,,,1,,,3.0,,is a great man,,,P_bevb_x,,,,
02825.031.02,,,2,,,3.0,,whom I admire,,,A_def,,,,
03392.005.00,5,5,0,1,6,3.0,p,['makes me more creative and productive'],Being with other people,makes me more creative and productive.,['A_def'],,,,
03392.005.01,,,1,,,3.0,,makes me more creative and productive,,,A_def,,,,
03343.029.00,29,29,0,2,7,3.0,p,"['was different', 'I would also be different']",If my mother,was different I would also be different,"['P_bevb_x', 'P_bevb_x']",,,,
03343.029.01,,,1,,,3.0,,was different,,,P_bevb_x,,,,
03343.029.02,,,2,,,3.0,,I would also be different,,,P_bevb_x,,,,
02778.016.00,16,16,0,1,7,3.0,p,['for the true victims of this world'],I feel sorry,for the true victims of this world. ,['Undefined'],,,,
02778.016.01,,,1,,,3.0,,for the true victims of this world,,,Undefined,,,,
03497.018.00,18,42,0,3,19,3.0,p,"['are good but', 'it is good to break them too as long as your comfortable', 'to face the consequences']",Rules,are good but it is good to break them too (as long as your comfortable to face the consequences),"['P_bevb_x', 'A_pron_x', 'A_def']",,,,
03497.018.01,,,1,,,3.0,,are good but,,,P_bevb_x,,,,
03497.018.02,,,2,,,3.0,,it is good to break them too as long as your comfortable,,,A_pron_x,,,,
03497.018.03,,,3,,,3.0,,to face the consequences,,,A_def,,,,
01968.005.00,5,5,0,2,6,3.0,p,"['is beautiful', 'when it s simply being']",Being with other people,is beautiful when it's simply being.,"['P_bevb_x', 'P_bevb_x']",,,,
01968.005.01,,,1,,,3.0,,is beautiful,,,P_bevb_x,,,,
01968.005.02,,,2,,,3.0,,when it s simply being,,,P_bevb_x,,,,
02402.031.00,31,31,0,3,16,3.5,a,"['is someone', 'i would like to understand more being in the army', 'his faade was hard']",My father,"is someone i would like to understand more, being in the army his faade was hard.","['P_bevb_x', 'P_bevb_x', 'A_pron_x']",,,,
02402.031.01,,,1,,,3.5,,is someone,,,P_bevb_x,,,,
02402.031.02,,,2,,,3.5,,i would like to understand more being in the army,,,P_bevb_x,,,,
02402.031.03,,,3,,,3.5,,his faade was hard,,,A_pron_x,,,,
01894.007.00,7,38,0,3,12,3.5,a,"['and', 'support each other and', 'work well together as a team']",My co-workers and I,respect and support each other and work well together as a team.,"['Undefined', 'A_def', 'A_def']",,,,
01894.007.01,,,1,,,3.5,,and,,,Undefined,,,,
01894.007.02,,,2,,,3.5,,support each other and,,,A_def,,,,
01894.007.03,,,3,,,3.5,,work well together as a team,,,A_def,,,,
02041.028.00,28,46,0,2,13,3.5,a,"['To give their suggestions ideas', 'to come up with their comments or requests']",A partner has the right to,"To give their suggestions, ideas, to come up with their comments or requests","['A_pron_x', 'A_pron_x']",,,,
02041.028.01,,,1,,,3.5,,To give their suggestions ideas,,,A_pron_x,,,,
02041.028.02,,,2,,,3.5,,to come up with their comments or requests,,,A_pron_x,,,,
02835.007.00,7,38,0,1,15,3.5,a,['hide our negative feelings from our executive team when under enormous pressure at work'],My co-workers and I,would hide our negative feelings from our executive team when under enormous pressure at work.,['A_pron_x'],,,,
02835.007.01,,,1,,,3.5,,hide our negative feelings from our executive team when under enormous pressure at work,,,A_pron_x,,,,
02784.025.00,25,25,0,1,7,3.5,a,['Staying In A Good mindset'],My main problem is,Staying In A Good mindset Long Term. ,['A_def'],,,,
02784.025.01,,,1,,,3.5,,Staying In A Good mindset,,,A_def,,,,
02281.027.00,27,45,0,3,14,3.5,a,"['should be given the chance', 'to get back to normal', 'as opposed to punishment']",People who step out of line,should be given the chance to get back to normal as opposed to punishment,"['P_bevb_x', 'A_def', 'A_def']",,,,
02281.027.01,,,1,,,3.5,,should be given the chance,,,P_bevb_x,,,,
02281.027.02,,,2,,,3.5,,to get back to normal,,,A_def,,,,
02281.027.03,,,3,,,3.5,,as opposed to punishment,,,A_def,,,,
02750.032.00,32,32,0,3,7,3.5,a,"['then', 'maybe I have', 'what I need']",If I can't get what I want,then maybe I have what I need.,"['Undefined', 'P_bevb_x', 'A_def']",,,,
02750.032.01,,,1,,,3.5,,then,,,Undefined,,,,
02750.032.02,,,2,,,3.5,,maybe I have,,,P_bevb_x,,,,
02750.032.03,,,3,,,3.5,,what I need,,,A_def,,,,
01864.006.00,6,6,0,2,7,3.5,a,"['my ability', 'to adapt to any situation']",The thing I like about myself is,my ability to adapt to any situation.,"['Undefined', 'A_def']",,,,
01864.006.01,,,1,,,3.5,,my ability,,,Undefined,,,,
01864.006.02,,,2,,,3.5,,to adapt to any situation,,,A_def,,,,
01902.026.00,26,26,0,3,10,3.5,a,"['I reflect on', 'what is', 'upsetting me']",When I get mad,.. I reflect on what on what is upsetting me,"['A_def', 'P_bevb_x', 'A_def']",,,,
01902.026.01,,,1,,,3.5,,I reflect on,,,A_def,,,,
01902.026.02,,,2,,,3.5,,what is,,,P_bevb_x,,,,
01902.026.03,,,3,,,3.5,,upsetting me,,,A_def,,,,
02325.003.00,3,3,0,3,11,3.5,a,"['great', 'especially when it improves on the way', 'things are now']",Change is,"great, especially when it improves on the way things are now.","['Undefined', 'A_def', 'P_bevb_x']",,,,
02325.003.01,,,1,,,3.5,,great,,,Undefined,,,,
02325.003.02,,,2,,,3.5,,especially when it improves on the way,,,A_def,,,,
02325.003.03,,,3,,,3.5,,things are now,,,P_bevb_x,,,,
02833.015.00,15,41,0,2,16,3.5,a,"['is both and valid and useful right and', 'also holding back the progress of our world']",Privacy,is both and valid and useful right and also holding back the progress of our world.,"['P_bevb_x', 'A_pron_x']",,,,
