survey_id,prompt_number,prompt_id,prompt,response,clauses_text_final,voice,idx,abstraction_score
2619,2,2,When I am criticized,"I can embody my personality and feel a pang contrast to the story I tell myself inside the story we tell ourselves of what we think in the moment to be an absolute before it falls away into a deeper, clearer calm of letting go.","['I can embody my personality and', 'feel a pang contrast to the story go', 'I tell myself inside the story', 'we tell ourselves of', 'what we think in the moment to be an absolute', 'before it falls away into a deeper clearer calm of letting']","['A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",37,"[0.25, 0.25, 0.22, 0.12, 0.14, 0.25]"
1823,6,6,The thing I like about myself is,"that here I sit in the drop of this essential moment, chuckling at this question! :-D","['D', 'that here I sit in the drop of this essential moment', 'chuckling at this question']","['Undefined', 'A_def', 'A_def']",38,"[0.0, 0.22, 0.25]"
1909,25,25,My main problem is,"integrating emptiness with everyday life, finding meaning in meaningless given the meaningless in meaning making.","['integrating emptiness with making', 'everyday life finding meaning in meaningless', 'given the meaningless in meaning']","['A_def', 'A_def', 'A_def']",39,"[0.14, 0.14, 0.14]"
1814,25,25,My main problem is,how my narccissim gets in the way of seeing the truth of the illusion of self.,"['how my narccissim gets in the way of', 'seeing the truth of the illusion of self']","['A_pron_x', 'A_def']",40,"[0.25, 0.14]"
1805,4,37,"These days, work",Is a rainbow of consciousness manifesting through each sparkling emanation called a 'me'.,"['a rainbow of consciousness', 'manifesting through each sparkling emanation', 'called a me']","['Undefined', 'A_def', 'A_def']",41,"[0.25, 0.25, 0.25]"
1665,5,5,Being with other people,Is a mutually mutating meeting of universes,"['Is a meeting of universes', 'mutually mutating']","['P_bevb_x', 'A_def']",42,"[0.22, 0.14]"
2182,11,39,What I like to do best is,"lay back and live the window that I have becomeas if a home with no walls, the infinite moves through as if there is no solid boundary.the veil is no more and the whole field that is everywhere exists where the inside and outside have no difference.","['lay back and', 'live the window if a home with no walls the infinite moves through', 'that I have becomeas', 'as if there is no solid boundary', 'the veil is no more and', 'that is everywhere', 'the whole field exists', 'where the inside and outside have no difference']","['A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",43,"[0.25, 0.14, 0.25, 0.14, 0.14, 0.14, 0.14, 0.25]"
1823,3,3,Change is,the heartbeat of the universe... aliveness calling us forth!,"['the heartbeat of the universe aliveness', 'calling us forth']","['Undefined', 'A_def']",44,"[0.14, 0.25]"
2721,26,26,When I get mad,i feel adrenaline through my human body and it is fierce and i love it because it moves me and it is no different than the Spirit which moves all.,"['i feel adrenaline through my human body and', 'it is fierce', 'and i love it', 'because it moves me', 'and it is no different than the Spirit', 'which moves all']","['A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",45,"[0.14, 0.25, 0.14, 0.25, 0.2, 0.25]"
2338,1,1,Raising a family,"Captivates my whole being, just as every window on reality sees it is held in Love beyond knowing.","['Captivates my whole being', 'just as every window on reality sees', 'it is held in Love beyond knowing']","['A_pron_x', 'A_def', 'P_bevb_x']",46,"[0.25, 0.14, 0.14]"
2721,30,30,If I were in charge,"Is an expression of the love animating all creation, the simple joy that moves all from rock to life to mind to All. It comes through this glorious One in all its parts and territories, from an inaccessible Heart, within, without.","['Is an expression of the love', 'animating all creation the simple joy', 'that moves all from rock to life to mind to All', 'It comes through this glorious One in all its parts and territories from an inaccessible Heart within without']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_pron_x']",47,"[0.22, 0.25, 0.25, 0.25]"
1889,15,41,Privacy,the human formconsicousness separates from the One even for a moment.,['the human formconsicousness separates from the One even for a moment'],['A_def'],48,[0.25]
