response,clauses_text_final,final_score,final_voice
"I would have less debt, and would be more confident that I could support my parents into their retirement. If I had more money, I feel like I could take more risks in regards to where I work, or even starting my own company that could be more rewarding in the long run. I do not equate money with happiness, but given my situation it would mean more stability in my family.","['I would have less debt and', 'would be more confident', 'that I could support my parents into their retirement', 'If I had more money', 'I feel', 'like I could take more risks in regards to', 'I work or', 'where even starting my own company', 'that could be more rewarding in the long run', 'I do not equate money with happiness but', 'given my situation', 'it would mean more stability in my family']",0.32,A_pron_x
was a hard worker and always tried to do his best. I loved his hands.,"['was a hard worker and', 'always tried to do his best', 'I loved his hands']",0.2,P_bevb_x
I hurt myself or others.,['I hurt myself or others'],0.11,A_def
no,['no'],0.04,Undefined
my dreams,['my dreams'],0.2,Undefined
"I haven&#039;t figured out how to warp the temporal plane and therefore find presence in every minute. I can touch upon that infinity when I remind myself to do so, but sometimes I can be so caught up in the complexity, that I forget about this inner simplicity.","['I haven t figured out how to warp the temporal plane and', 'therefore find presence in every minute', 'I can touch upon that infinity', 'when I remind myself to do so', 'but sometimes I can be so caught up in the complexity', 'that I forget about this inner simplicity']",0.2,A_def
"how radiant and resplendent the blessing of creation&#039;s unfurling is, that I have for these breaths this incarnate, particular, sensory dip in the ocean of all-being/all-becoming.","['how radiant and resplendent the blessing of creation s unfurling is', 'that I have for these breaths this incarnate particular sensory dip in the ocean of all', 'being all becoming']",0.22,A_def
If my words or actions have hurt someone,['If my words or actions have hurt someone'],0.17,A_pron_x
are expressions of one another.,['are expressions of one another'],0.27,P_bevb_x
"is something I value for my own personal development, and am devoted to as part of my path in service to the transformation of others.","['is something', 'I value for my own personal development and am devoted to as part of my path in service to the transformation of others']",0.24,A_pron_x
"we would truly listen to each other enough to see our commonality, knew our own selves and inner workings enough to not be so attached to our desires and views, and awakened more fully in awe to the magnificence and mystery of this Life we are and share.","['we would truly listen to each other enough', 'to see', 'our commonality knew our own selves and inner workings enough to not be so attached to our desires and views and', 'awakened more fully in awe to the magnificence and mystery of this Life', 'we are and share']",0.2,A_pron_x
"on a need to know basis, it will be there waiting :&#x29;","['to know basis', 'it will be there waiting']",0.21,A_def
"be here in this moment with all parts of me, here, in the unknowable known moment and breathe, be being by being, feel the inseparability of the me and the world, the environment and my mind.","['be here in this moment with all parts of me here in the unknowable known moment and', 'breathe be being by', 'being feel the inseparability of the me and the world the environment and my mind']",0.19,A_def
"unsanity, its a lovely swim",['unsanity'],0.41,Undefined
"every thing could just be exactly as it is, oh, wonderful, you fairy you :&#x29;","['every thing could just be', 'exactly as it is oh wonderful', 'you fairy you']",0.28,A_def
"depending on what I was in charge of I might not be for long as I prefer to lead by influence rather than by command and make a great #2, but not sure I want to be &quot;in charge&quot; when in reality one can only truly be &quot;in charge&quot; of themselves.","['depending on', 'what I was in charge of I', 'might not be for long', 'as I prefer to lead by influence rather than by command and', 'make a great 2 but not sure', 'I want to be in charge', 'when in reality one can only truly be in charge of themselves']",0.25,A_def
"...is so much more satisfying and enjoyable than ever before, complete with challenges, possibilities for personal and organizational growth, opportunities for collaboration, and plenty of humor and amazement at the webs we humans weave!","['so much more satisfying and enjoyable than ever before complete with challenges possibilities for personal and organizational growth opportunities for collaboration and plenty of humor and amazement at the webs', 'we humans weave']",0.29,Undefined
As a short term condition it is right and beneficial to take action to rescue them but if their helplessness is a chronic condition and attitude then one must balance on the sharp edge between effective assistance versus  rescue that would perpetuate the helpless state.,"['As a short term condition', 'it is right and beneficial to take action but', 'to rescue them', 'if their helplessness is a chronic condition and attitude', 'then one must balance on the sharp edge between effective assistance versus rescue', 'that would perpetuate the helpless state']",0.28,Undefined
Of anything right now it would be a challenge because I do not seem to be able to believe in the idea that anyone can actually BE in charge. It is a mutual illusion.,"['Of anything right now', 'it would be a challenge', 'because I do not seem to be able to believe in the idea', 'that anyone can actually BE in charge', 'It is a mutual illusion']",0.31,P_get_x
"Impress and inspire me when it done with courage, integrity and  grace to express their true essence and to move the line of society when needed and when done for self-serving reasons, are people who are disrespectful of others.","['and', 'Impress', 'inspire me', 'when it done with courage integrity and grace', 'to express their true essence and', 'to move the line of society', 'when needed and', 'when done for reasons', 'self serving', 'are people', 'who are disrespectful of others']",0.25,A_def
"it is an utterance from a particular observer with a motivation that may be useful to understand. Historically I would take it personally now it lands some where in the space around me for me to note with curiosity, discernment, respect and compassion for the speaker.","['it is an utterance from a particular observer with a motivation', 'that may be useful to understand', 'Historically I would take it personally now', 'it lands some where in the space around me', 'for me to note with curiosity', 'discernment respect and compassion for the speaker']",0.25,P_bevb_x
let it be a moment in time a need defined a still point for some new turning a siren heard and felt in the fabric of our interbeing a call and response that belongs to us all,"['let', 'it be a moment in time a need', 'defined a still point for and', 'some new turning a siren heard', 'felt in the fabric of a call and response', 'our interbeing', 'that belongs to us all']",0.3,A_def
"might one day be the next step of evolution. Individual units that last millennia, systems for the aeons. What if biological life was just another stepping stone this evolution and involution One uses to be fully itself?","['might one day be the next step of evolution Individual units that last millennia systems for the aeons', 'if biological life was just another stepping stone this evolution and involution', 'One uses to be fully itself']",0.24,P_bevb_x
", my biggest unfulfilled dream, triggers some times within me a soulful ache, amplified by memories from my past and fears about the future.","['my biggest unfulfilled dream', 'triggers some times within me a soulful ache and fears about the future', 'amplified by memories from my past']",0.19,A_def
"whatever, it is a reflection of myself/humanities  judgment on humanity/self, my/humanities non acceptance of myself/humanity.","['self my humanities non acceptance of myself humanity', 'who whatever it is a reflection of myself humanities judgment on humanity']",0.29,Undefined
Is a rainbow of consciousness manifesting through each sparkling emanation called a &#039;me&#039;.,"['a rainbow of consciousness', 'manifesting through each sparkling emanation', 'called a me']",0.32,A_def
amazed at how quickly the world gives way to the Void.,"['amazed at', 'how quickly the world gives way to the Void']",0.16,A_def
"..if individuals and systems are given the space to be, grow and develop in a healthy manner. If we grow to be and act more compassionately, promoting a more just and sustainable earth.
...if we raised our children differently, and the systems we create serve their purpose.
In the context I am in now I burn to see our political and public systems transform - they have such clout and could be even greater sources of positive change.
We could make the world a better place if we sit with our blind spots and transform them, if I practice authentic communication, if I become a better mother and wife.
And maybe, for now, the world is already a great place to be?","['if individuals and systems are given the space', 'to be grow and', 'develop in a healthy manner', 'If we grow to be and', 'act more compassionately', 'promoting a more just and sustainable earth', 'if we raised our children differently and', 'we create', 'the systems serve their purpose In the context', 'I am in now', 'I burn', 'to see', 'our political and public systems transform and', 'they have such clout', 'could be even greater sources of positive change', 'We could make the world a better place', 'if we sit with our blind spots and', 'transform them', 'if I practice authentic communication', 'if I become a better mother and wife', 'And maybe for now the world is already a great place', 'to be']",0.27,A_def
"engaging as the creative witness which transforms the infinite-infinte world, made up from the infinite void and the infinite all merged together into a devine manifest-illusion both of which transform the etherial field into single or multitude of expressions from etherial oneness to psycho-socail-physio manifestations of the multitudes.","['engaging as the creative witness the infinite all', 'which transforms the infinite infinte world and', 'made up from the infinite void', 'merged together into a devine manifest illusion', 'both of which transform the etherial field into single or multitude of expressions from etherial oneness to psycho socail physio manifestations of the multitudes']",0.25,A_def
"open my mind and let the concrete, psychological and etherial worlds fall away into the infinite void, slide from the infinite void into the infinite all, experience the merging of the infinite void and the infinite all into the infinite-infinite and bring awareness to this process, toggling back and forth between the engaged process and the observation of this process until the two merge in to the engagedobserver the passionateobserverexperiencer and then realize it is the way the engagedobserver does the observing that shapes the dynamics of the experience.","['open my mind and', 'let all experience the merging of the infinite void and the infinite all into the infinite infinite and', 'the concrete psychological and etherial worlds fall away into the infinite void slide from the infinite void into the infinite', 'bring awareness to this process', 'toggling back and forth between the engaged process and the observation of this process until the two merge in to the engagedobserver the passionateobserverexperiencer and', 'then realize', 'it is the way', 'the engagedobserver does the observing', 'that shapes the dynamics of the experience']",0.27,A_def
"present and future continuum of time unfolds in a specific direction concretely but unfolds in the opposite direction from the place of the creativeobserver witnessing the infinite-infinite break into the infinite all and the infinite void each denying itself &#x28;as the infinite all engages in self-destruction and recreation and the infinite void engages in manifesting illusions&#x29; and as these dynamics split further the etherial world of the divine field presents itself and is broken down into the field and the one in the field which further breaks down into the field flooding the one in the field which then breaks down into the one in the collapsed energy field and believing more and more in the constructs defined within that arena, the psyco-socail dynamic which when put to task creates physical space and time from which is created the physical trajectory of past present and future.","['present and future continuum of time unfolds in a specific direction concretely but all engages in self destruction and recreation and the infinite void engages in and', 'unfolds in the opposite direction from the place of the creativeobserver', 'witnessing the infinite infinite break into the infinite all and the infinite void', 'each denying itself as the infinite', 'manifesting illusions', 'as these dynamics split further the etherial world of the divine field', 'presents itself and', 'is broken down into the field and the one in the field', 'which further breaks down into the field', 'flooding the one in the field', 'which then breaks down into the one in the collapsed energy field and', 'believing more and more in the constructs the psyco socail dynamic', 'defined within that arena', 'when put to task', 'which creates physical space and time', 'from which is created the physical trajectory of past present and future']",0.4,A_def
not being able to get back to the devine field.,['not being able to get back to the devine field'],0.2,P_get_x
"creatively observing the infinite-infinite as it breaks into the infinite all and the infinite void and how each denies its own existence while recreating it, the infinite all engaging in self-destruction and recreating all possibilities, and the infinite void creating illusions which then become manifest, and as these dynamics are dissected how the etherial, psycho-social, and material worlds manifest from the pure field.","['creatively observing the infinite infinite', 'as it breaks into the infinite all and the infinite void and', 'how each denies its own existence', 'while recreating it the infinite all', 'engaging in self destruction and', 'recreating all possibilities and the infinite void', 'creating illusions', 'which then become manifest and', 'as these dynamics are dissected', 'how the etherial psycho social and material worlds manifest from the pure field']",0.41,A_def
how my narccissim gets in the way of seeing the truth of the illusion of self.,"['how my narccissim gets in the way of', 'seeing the truth of the illusion of self']",0.15,A_pron_x
then i would be the I of all.,"['then', 'i would be the I of all']",0.07,A_def
"we all paid attention to our growth - explored the shadow, developed our maturity, learned to go inside.  We can also act directly on the world by developing global interactions that serve everyone; teaching attitudes of peace, gratitude, forgiveness; listening to other people and to the underlying dynamics; I&#039;m sure there&#039;s more.","['we all paid attention to our growth', 'explored', 'the shadow developed', 'our maturity learned to go inside', 'We can also act directly on the world by', 'developing global interactions', 'that serve everyone', 'teaching attitudes of peace gratitude forgiveness', 'listening to other people and to the underlying dynamics', 'I m sure', 'there s more']",0.41,A_def
is relative depending one&#039;s comfort with oneself and others.,"['is relative', 'depending one s comfort with oneself and others']",0.26,P_bevb_x
the heartbeat of the universe... aliveness calling us forth!,"['the heartbeat of the universe aliveness', 'calling us forth']",0.21,Undefined
is like watching life itself unfold through the ages.,"['is like', 'watching life itself', 'unfold through the ages']",0.27,A_def
"that here I sit in the drop of this essential moment, chuckling at this question! :-D","['that here I sit in the drop of this essential moment', 'chuckling at this question D']",0.21,A_def
"arise together, knowing and not knowing, roles arising and falling away, out of which life itself creates anew, carrying our dance like seeds in a breeze.","['together', 'knowing and', 'not knowing roles', 'arising and', 'falling away out of which life itself', 'creates anew carrying our dance like seeds in a breeze']",0.34,Undefined
"I&#039;m not placing my feet on the path with an open heart, mind and spirit, tuning in to what&#039;s moving and showing up fully at the dance.","['I m not placing my feet on the path with an open heart mind and spirit', 'tuning in to and', 'what s moving', 'showing up fully at the dance']",0.16,A_def
the ever evolving universe.,"['the universe', 'ever evolving']",0.33,Undefined
is alive in this moment swirling with futures and other pasts colliding in infinite strings of moments.,"['is alive in this moment', 'swirling with futures and other pasts', 'colliding in infinite strings of moments']",0.25,A_def
"is empathetic, intelligent, engaging, passionate and a teacher/coach.",['is empathetic intelligent engaging passionate and a teacher coach'],0.26,P_bevb_x
"be in a complete experience of effortless flow and evolution with myself, others and the universe.",['be in a complete experience of effortless flow and evolution with myself others and the universe'],0.24,A_def
"it takes a long time to build up, but I am slow to forgive.","['it takes a long time but', 'to build up', 'I am slow to forgive']",0.23,A_def
can be rewarding.,['can be rewarding'],0.31,P_get_x
They can\&#039;t help themselves,['They can t help themselves'],0.1,A_def
Worry too much,['who Worry too much'],0.1,A_def
Was my best friend and I miss him dearly.,"['Was my best friend and', 'I miss him dearly']",0.1,A_def
my palms sweat and my stomach hurts,"['my palms sweat and', 'my stomach hurts']",0.2,A_pron_x
At times I worry about job stability.,['At times I worry about job stability'],0.27,A_def
I usually keep it to myself.,['I usually keep it to myself'],0.13,A_def
I deal with it.,"['want', 'I deal with it']",0.06,A_def
we need to give them the strength to help themselves.,"['we need to give them the strength', 'to help themselves']",0.2,A_def
Necessary.  Part of life. Incredibly difficult to accept.,['Necessary Part of life Incredibly difficult to accept'],0.28,P_get_x
a feeling that I am not entitled,"['a feeling', 'I am not', 'that entitled']",0.27,Undefined
I yawn.  I also don\&#039;t say very much.,"['I yawn', 'I also don', 't say very much']",0.19,A_def
"Yes, in love. Yes let\&#039;s, for everyone! Could education simply be a continued collective reflection on the awareness of being? I\&#039;m afraid if I write more here, it will only be in efforts to move this completion towards a reflection of 6.0. How finicky am I to seek to be something with which I identify as hierarchically desirable…","['Yes let', 's for everyone Could education simply be a continued collective reflection on the awareness of being', 'I m afraid', 'if I write more here', 'it will only be in efforts', 'to move this completion towards a reflection of 6 0', 'How finicky am I to seek to be something', 'with which I identify as hierarchically desirable']",0.27,P_bevb_x
"moments are, in my memory, filled with mirth and silliness and care and concern and words like meditation flowing over the rocky hillside streambed worn smooth over time, and feeling and thought behind words, a gentle caress on the heart, and incessant prayers, seen and unseen, that this effort might be towards some greater fullness of the One.","['moments are in my memory', 'filled with mirth and silliness and care and concern and words like meditation', 'flowing over the rocky hillside streambed', 'worn smooth over time and feeling and', 'thought behind words a gentle caress on the heart and incessant prayers', 'seen and unseen', 'that this effort might be towards some greater fullness of the One']",0.17,A_def
is important to learn from but not harp on.,"['is important to learn from but', 'not harp on']",0.25,P_bevb_x
"can be joyful, stimulating, healing, or it can be complex, thorny and challenging.  My experience around people is very dependent on the quality of my relationships with them.","['can be joyful stimulating healing or', 'it can be complex thorny and', 'My experience around people is very dependent on the quality of my relationships with them']",0.22,A_pron_x
"express their needs, their emotions, to be honest, to expect honesty in return, to be trusted &#x28;unless that trust has been violated in the past&#x29;, to be supported, accommodated, and seen and appreciated for who they are.","['their needs their emotions', 'to be honest', 'to expect honesty in return', 'to be trusted', 'unless that trust has been violated in the past', 'to be supported', 'accommodated and', 'seen and', 'appreciated for', 'who they are']",0.36,A_def
I could be younger and have done things differently.,"['I could be younger and', 'have done things differently']",0.33,A_def
is a profound gift. I am tending the future. I am tending the life processes. It is a place for love and life and evolution to soar.,"['is a profound gift', 'I am tending the future', 'I am tending', 'the life processes', 'It is a place for love and life and evolution to soar']",0.24,P_bevb_x
"is a cascading waterfall of moments, memory and co-created constructs. The constructs build upon their predecessors and remain in tact to the degree they are functionally useful. Education is plastic and can be moulded to insert structures that orient the mind to new dimensions of possibility. It isn\&#039;t fixed. It is moving. It is a way to organize life in a way that transmits deeper meaning and captivates us to expand beyond the known. Education is a platform through which an infinite ground of potential is catalyzed and new structures are created for the sake of stretching to more integrated wholes.","['is a cascading waterfall of moments memory and', 'co created', 'constructs', 'The constructs build upon their predecessors and', 'remain in tact to the degree', 'they are functionally useful', 'Education is plastic and', 'can be moulded', 'to insert structures', 'that orient the mind to new dimensions of possibility', 'It isn t fixed', 'It is moving', 'It is a way', 'to organize life in a way', 'that transmits deeper meaning and', 'captivates us to expand beyond the known Education', 'is a platform', 'through which an infinite ground of potential is', 'catalyzed and', 'new structures are created for the sake of', 'stretching to more integrated wholes']",0.23,P_bevb_x
who get their racism incorrect. Then I don\&#039;t know if I should get mad for getting misidentified as a Pilipino or feel sorry for the guy who does not know world map.,"['who incorrect', 'who get their racism', 'Then I don', 't know', 'if I should get mad for or', 'getting misidentified as a Pilipino', 'feel sorry for the guy', 'who does not know world map']",0.27,A_def
More people were held accountable.  Or maybe if crimes were dealt with More Severely! Like in Africa where they cut off your hand for stealing. It would be hard to adjust to but it might keep people in line more.,"['More people were held accountable Or', 'maybe if crimes were dealt with More Severely Like in Africa', 'where they cut off your hand for', 'stealing It', 'would be hard to adjust to but', 'it might keep people in line more']",0.21,P_bevb_x
noticing that I see an awareness of a slight twinge,"['noticing', 'that I see an awareness of a slight twinge']",0.29,A_def
"if we are present, open portal to flow of transcendent inspiration, experiencing the kosmic perfection and yet manifesting our utter uniqueness","['if we are present open portal', 'to flow of transcendent inspiration and', 'experiencing the kosmic perfection', 'yet manifesting our utter uniqueness']",0.36,A_def
inevitably has all of creation flowing through it - a Kosmic disclosure,"['inevitably has all of creation', 'flowing through it a Kosmic disclosure']",0.24,A_def
"for beings who are suffering; it feels sometimes like I feel the earth stressing, pulsating in resonance with endless other pulsars throughout infinity","['for beings', 'who are suffering it', 'feels sometimes', 'like I feel', 'the earth stressing pulsating in resonance with endless other pulsars throughout infinity']",0.27,A_def
"their deviation was also their alignment, a unity of directionality beyond direction",['their deviation was also their alignment a unity of directionality beyond direction'],0.3,A_pron_x
the fragility of this vessel. Will it hold much longer at it is touching into that which transcends what it means to be human,"['the fragility of this vessel', 'Will it hold much longer at it', 'is touching into that', 'which transcends', 'what it means to be human']",0.23,P_get_x
"&#x28;more direction of attention&#x29; is wondering what arises beyond all separation, when the last vestiges of \&quot;I-ness\&quot; collapses","['more direction of attention', 'is wondering', 'what arises beyond all separation', 'when the last vestiges of I ness collapses']",0.22,A_def
have the gift of \&quot;line no more\&quot; of endless creation..,['have the gift of line no more of endless creation'],0.17,A_def
...is a subtle framing of an assumption of separation and alienation when a realization of the gift of unlimited relationship through utter unity opens to the awareness and love and embrace without earthly or kosmic limitation,"['a subtle framing of an assumption of separation and alienation', 'when a realization of the gift of unlimited relationship through utter unity opens to the awareness and love and', 'embrace without earthly or kosmic limitation']",0.25,A_def
/if I were following...together are a unity which gives rise to the wisdom of appropriate relationship informed by kosmic flow which arises out of empty/fullness..a message out of the eons of the universe/NOW,"['if I were following together', 'are a unity NOW', 'which gives rise to the wisdom of appropriate relationship', 'informed by kosmic flow', 'which arises out of empty fullness a message out of the eons of the universe']",0.27,A_def
are made to be challenged and possibilities explored.,"['are made to be challenged and', 'possibilities explored']",0.38,A_def
comes in many different forms.,['comes in many different forms'],0.29,A_def
to receive a massage.,"['to receive a massage', 'to receive a massage']",0.25,A_def
my brother.,['my brother'],0.26,Undefined
yes.,['yes'],0.03,Undefined
whatever right they wish to have.,['they wish right to have'],0.05,A_def
"integrating emptiness with everyday life, finding meaning in meaningless given the meaningless in meaning making.","['integrating emptiness with everyday life', 'finding meaning in meaningless', 'given the meaningless in meaning making']",0.24,A_def
"brings out the best in his or her employees, \&quot;empowering\&quot; them to use and grow their skills, is emotionally healthy, sets the example he or she wishes for from the employees, cares about the lives of those who he or she works with, is self reflective and is always looking at self improvement, doesn\&#039;t take himself or herself too seriously..... and more.","['brings out the best in his or her employees', 'empowering them to use and', 'grow their skills', 'is emotionally healthy sets', 'he or she wishes for from the employees', 'cares about the lives of those', 'he or she works who with', 'the example is self reflective and', 'is always looking at self improvement doesn t', 'take himself or herself too seriously and more']",0.22,A_def
"speak his or her feelings, develop his/her strengths and interests, and become the person he/she believes is his/her best self","['his or her feelings', 'develop his her strengths and interests and', 'become the person', 'she believes', 'he is his her best self']",0.21,A_def
$% Meh &#x29;&#x28;*^ Bah IO} Ouch @#$ HA! #*$H FUCK! 3hf SMILE aad9&#x29;&amp;@^ EN-rApture 0-df HoW Dare She/He/I judge-split-differentiate-Self-Other-Awe-hA it keeps happening again and again no matter what I do-be-come,"['Dare', 'I judge', 'He split', 'differentiate Self', 'it keeps happening again and again no matter', 'what I do', 'be come']",0.33,A_def
for those who are suffering because they don\&#039;t have sufficient perspective to understand their situation from a higher perspective.,"['for those', 'who are suffering', 'because they don t have sufficient perspective', 'to understand their situation from a higher perspective']",0.28,A_def
Is satisfying and on the brink of some big changes.,['satisfying and on the brink of some big changes'],0.21,P_get_x
good.,['good'],0.19,Undefined
"was alive, I would love to talk with her, share more with her, not be scared of her criticism and rejection.  I would love to get to a warm loving respectful space with her.","['was alive', 'I would love to talk with her share more with her', 'not be scared of her criticism and rejection', 'I would love to get to a warm loving respectful space with her']",0.21,A_pron_x
"they either do not have, or have temporarily lost the truth of the vastness of wisdom and agency available to them, even if this means that there is much sacrifice involved.","['they either do not have or', 'have temporarily lost the truth of the vastness of wisdom and agency available to them', 'even if this means', 'that there is much sacrifice involved']",0.21,A_def
\&#039;s usefulness depends entirely on how it is used.,"['s usefulness depends entirely on', 'how it is used']",0.17,A_def
"I get angry -- at them, at systemic injustice, at the scale of challenges facing society. 
Seeing people at their worst is bewildering and frightening.","['I get angry at them at systemic injustice at the scale of challenges', 'facing society', 'people at their worst is', 'bewildering and frightening']",0.35,P_get_x
I try to work out another way of getting what I want,"['want', 'I try to work out another way of', 'what I want']",0.27,A_def
"constant -- as in every millisecond of the day and very welcome in my world.  The term \&quot;Change Management\&quot; always amuses me as it seems to be an oxymoron, similar to the notion of \&quot;Gravity Management.\&quot;  The molecules of physical living matter are constantly in change, and the plays we find ourselves starring in seem to be constantly shifting among tragedies, comedies, philosophical renditions, and high spiritual stagework.  My mind is a cacophony of changing opinions, changing beliefs, and changing perspectives and I witness its various voices going in and out of consciousness.  My body changes its chemistry, composition, shape and health by the second.  My relationships change as I continuously get to know my friends, my partners, my children and family deeper and deeper.  And yet, there is a constant of universal energy that I, and many, label as \&quot;God\&quot; -- or \&quot;Universal Energy\&quot; or many other labels.  This energy seems to be ever present, not susceptible to the thermodynamics of energy conversation that the rest of us are.  It is an energy that seems to have unchanging wisdom and love.  To have this energy flowing constantly as a given underneath all of that change gives me a deep abiding trust in the life I have found myself in.","['constant as in every millisecond of the day and very welcome in my world', 'The term Change Management always amuses me', 'as it seems to be an oxymoron similar to the notion of Gravity Management', 'The molecules of physical living matter are constantly in change and the plays seem to be constantly shifting among tragedies comedies philosophical renditions and high spiritual stagework', 'we find', 'ourselves starring in', 'My mind is a cacophony of changing opinions and', 'changing beliefs and', 'changing perspectives', 'I witness', 'its various voices going in and out of consciousness', 'My body changes its chemistry composition shape and health by the second', 'My relationships change', 'as I continuously get to know my friends my partners', 'And yet there is a constant of universal energy that I and many label as God or Universal Energy or many other labels', 'This energy seems to be ever present not susceptible to the thermodynamics of energy conversation', 'that the rest of us are', 'It is an energy', 'that seems to have unchanging wisdom and love To have', 'this energy flowing constantly as', 'a given underneath all of that change', 'gives me a trust in the life', 'deep abiding', 'I have found myself in']",0.28,A_def
"we started from within and worked on the notion of forgiveness -- first forgiveness of ourselves and all of the so-called sins we have committed in our lives &#x28;which are not sins but mistakes&#x29;, and then forgiveness of the people who have seemed to hurt us but may have actually given us great gifts instead, and then the forgiveness of people we don\&#039;t know who seem to be causing destruction to lives and to the planet.  If we could all learn this act of forgiveness as a moment-by-moment practice of awareness and belief that we are essentially \&quot;God\&quot; behind all of the egoic shadows, we would very much enjoy a better world.","['we started from within and', 'worked on the notion of forgiveness first forgiveness of ourselves and all of the sins', 'so called', 'we have committed in our lives', 'which are not sins but mistakes and then forgiveness of the people', 'who have seemed to hurt us but', 'may have actually given us great gifts instead and then the forgiveness of people', 'we don', 't know', 'who seem to be causing destruction to lives and to the planet', 'If we could all learn this act of forgiveness as a moment by moment practice of awareness and belief', 'that we are essentially God behind all of the egoic shadows', 'we would very much enjoy a better world']",0.19,A_def
