UID,survey_id,prompt_number,prompt_id,prompt,response,clauses_text_final,voice,idx,abstraction_score,abstraction_score_normalized
1772.27,1772,27,45,People who step out of line,"Impress and inspire me when it done with courage, integrity and  grace to express their true essence and to move the line of society when needed and when done for self-serving reasons, are people who are disrespectful of others.","['and', 'Impress', 'inspire me', 'when it done with courage integrity and grace', 'to express their true essence and', 'to move the line of society', 'when needed and', 'when done for reasons', 'self serving', 'are people', 'who are disrespectful of others']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x']",34,"[0.14, 0.22, 0.14, 0.25, 0.25, 0.25, 0.14, 0.14, 0.14, 0.12, 0.25]","[0.56, 0.88, 0.56, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 0.48, 1.0]"
1785.02,1785,2,2,When I am criticized,"it is an utterance from a particular observer with a motivation that may be useful to understand. Historically I would take it personally now it lands some where in the space around me for me to note with curiosity, discernment, respect and compassion for the speaker.","['it is an utterance from a particular observer with a motivation', 'that may be useful to understand', 'Historically I would take it personally now', 'it lands some where in the space around me', 'for me to note with curiosity', 'discernment respect and compassion for the speaker']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",35,"[0.25, 0.14, 0.25, 0.25, 0.25, 0.25]","[1.0, 0.56, 1.0, 1.0, 1.0, 1.0]"
1785.1,1785,10,10,When people are helpless,let it be a moment in time a need defined a still point for some new turning a siren heard and felt in the fabric of our interbeing a call and response that belongs to us all,"['let', 'it be a moment in time a need', 'defined a still point for and', 'some new turning a siren heard', 'felt in the fabric of a call and response', 'our interbeing', 'that belongs to us all']","['A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def']",36,"[0.11, 0.14, 0.14, 0.14, 0.25, 0.14, 0.14]","[0.44, 0.56, 0.56, 0.56, 1.0, 0.56, 0.56]"
1791.34,1791,34,47,Technology,"might one day be the next step of evolution. Individual units that last millennia, systems for the aeons. What if biological life was just another stepping stone this evolution and involution One uses to be fully itself?","['might one day be the next step of evolution Individual units that last millennia systems for the aeons', 'if biological life was just another stepping stone this evolution and involution', 'One uses to be fully itself']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x']",37,"[0.22, 0.25, 0.14]","[0.88, 1.0, 0.56]"
1801.01,1801,1,1,Raising a family,", my biggest unfulfilled dream, triggers some times within me a soulful ache, amplified by memories from my past and fears about the future.","['my biggest unfulfilled dream', 'triggers some times within me a soulful ache and fears about the future', 'amplified by memories from my past']","['Undefined', 'A_def', 'A_pron_x']",38,"[0.14, 0.25, 0.12]","[0.56, 1.0, 0.48]"
1804.21,1804,21,21,I just can\'t stand people who,"whatever, it is a reflection of myself/humanities  judgment on humanity/self, my/humanities non acceptance of myself/humanity.","['self my humanities non acceptance of myself humanity', 'who whatever it is a reflection of myself humanities judgment on humanity']","['Undefined', 'P_bevb_x']",39,"[0.25, 0.25]","[1.0, 1.0]"
1805.04,1805,4,37,"These days, work",Is a rainbow of consciousness manifesting through each sparkling emanation called a &#039;me&#039;.,"['a rainbow of consciousness', 'manifesting through each sparkling emanation', 'called a me']","['Undefined', 'A_def', 'A_def']",40,"[0.25, 0.25, 0.25]","[1.0, 1.0, 1.0]"
1806.23,1806,23,23,I am,amazed at how quickly the world gives way to the Void.,"['amazed at', 'how quickly the world gives way to the Void']","['Undefined', 'A_def']",41,"[0.11, 0.25]","[0.44, 1.0]"
1810.13,1810,13,40,We could make the world a better place if,"..if individuals and systems are given the space to be, grow and develop in a healthy manner. If we grow to be and act more compassionately, promoting a more just and sustainable earth.
...if we raised our children differently, and the systems we create serve their purpose.
In the context I am in now I burn to see our political and public systems transform - they have such clout and could be even greater sources of positive change.
We could make the world a better place if we sit with our blind spots and transform them, if I practice authentic communication, if I become a better mother and wife.
And maybe, for now, the world is already a great place to be?","['if individuals and systems are given the space', 'to be grow and', 'develop in a healthy manner', 'If we grow to be and', 'act more compassionately', 'promoting a more just and sustainable earth', 'if we raised our children differently and', 'we create', 'the systems serve their purpose In the context', 'I am in now', 'I burn', 'to see', 'our political and public systems transform and', 'they have such clout', 'could be even greater sources of positive change', 'We could make the world a better place', 'if we sit with our blind spots and', 'transform them', 'if I practice authentic communication', 'if I become a better mother and wife', 'And maybe for now the world is already a great place', 'to be']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x']",42,"[0.25, 0.14, 0.14, 0.22, 0.25, 0.14, 0.25, 0.25, 0.25, 0.22, 0.22, 0.11, 0.25, 0.25, 0.25, 0.25, 0.14, 0.14, 0.25, 0.25, 0.25, 0.11]","[1.0, 0.56, 0.56, 0.88, 1.0, 0.56, 1.0, 1.0, 1.0, 0.88, 0.88, 0.44, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0, 1.0, 0.44]"
1814.06,1814,6,6,The thing I like about myself is,"engaging as the creative witness which transforms the infinite-infinte world, made up from the infinite void and the infinite all merged together into a devine manifest-illusion both of which transform the etherial field into single or multitude of expressions from etherial oneness to psycho-socail-physio manifestations of the multitudes.","['engaging as the creative witness the infinite all', 'which transforms the infinite infinte world and', 'made up from the infinite void', 'merged together into a devine manifest illusion', 'both of which transform the etherial field into single or multitude of expressions from etherial oneness to psycho socail physio manifestations of the multitudes']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def']",43,"[0.25, 0.25, 0.14, 0.14, 0.25]","[1.0, 1.0, 0.56, 0.56, 1.0]"
1814.11,1814,11,39,What I like to do best is,"open my mind and let the concrete, psychological and etherial worlds fall away into the infinite void, slide from the infinite void into the infinite all, experience the merging of the infinite void and the infinite all into the infinite-infinite and bring awareness to this process, toggling back and forth between the engaged process and the observation of this process until the two merge in to the engagedobserver the passionateobserverexperiencer and then realize it is the way the engagedobserver does the observing that shapes the dynamics of the experience.","['open my mind and', 'let all experience the merging of the infinite void and the infinite all into the infinite infinite and', 'the concrete psychological and etherial worlds fall away into the infinite void slide from the infinite void into the infinite', 'bring awareness to this process', 'toggling back and forth between the engaged process and the observation of this process until the two merge in to the engagedobserver the passionateobserverexperiencer and', 'then realize', 'it is the way', 'the engagedobserver does the observing', 'that shapes the dynamics of the experience']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def']",44,"[0.14, 0.25, 0.25, 0.25, 0.25, 0.14, 0.14, 0.14, 0.25]","[0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 1.0]"
1814.14,1814,14,14,The past,"present and future continuum of time unfolds in a specific direction concretely but unfolds in the opposite direction from the place of the creativeobserver witnessing the infinite-infinite break into the infinite all and the infinite void each denying itself &#x28;as the infinite all engages in self-destruction and recreation and the infinite void engages in manifesting illusions&#x29; and as these dynamics split further the etherial world of the divine field presents itself and is broken down into the field and the one in the field which further breaks down into the field flooding the one in the field which then breaks down into the one in the collapsed energy field and believing more and more in the constructs defined within that arena, the psyco-socail dynamic which when put to task creates physical space and time from which is created the physical trajectory of past present and future.","['present and future continuum of time unfolds in a specific direction concretely but all engages in self destruction and recreation and the infinite void engages in and', 'unfolds in the opposite direction from the place of the creativeobserver', 'witnessing the infinite infinite break into the infinite all and the infinite void', 'each denying itself as the infinite', 'manifesting illusions', 'as these dynamics split further the etherial world of the divine field', 'presents itself and', 'is broken down into the field and the one in the field', 'which further breaks down into the field', 'flooding the one in the field', 'which then breaks down into the one in the collapsed energy field and', 'believing more and more in the constructs the psyco socail dynamic', 'defined within that arena', 'when put to task', 'which creates physical space and time', 'from which is created the physical trajectory of past present and future']","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",45,"[0.25, 0.25, 0.14, 0.25, 0.14, 0.25, 0.14, 0.14, 0.25, 0.14, 0.25, 0.25, 0.14, 0.14, 0.25, 0.25]","[1.0, 1.0, 0.56, 1.0, 0.56, 1.0, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0]"
1814.22,1814,22,43,At times I worry about,not being able to get back to the devine field.,['not being able to get back to the devine field'],['P_bevb_x'],46,[0.25],[1.0]
1814.23,1814,23,23,I am,"creatively observing the infinite-infinite as it breaks into the infinite all and the infinite void and how each denies its own existence while recreating it, the infinite all engaging in self-destruction and recreating all possibilities, and the infinite void creating illusions which then become manifest, and as these dynamics are dissected how the etherial, psycho-social, and material worlds manifest from the pure field.","['creatively observing the infinite infinite', 'as it breaks into the infinite all and the infinite void and', 'how each denies its own existence', 'while recreating it the infinite all', 'engaging in self destruction and', 'recreating all possibilities and the infinite void', 'creating illusions', 'which then become manifest and', 'as these dynamics are dissected', 'how the etherial psycho social and material worlds manifest from the pure field']","['A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_get_x', 'P_bevb_x', 'A_def']",47,"[0.25, 0.14, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]","[1.0, 0.56, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1814.25,1814,25,25,My main problem is,how my narccissim gets in the way of seeing the truth of the illusion of self.,"['how my narccissim gets in the way of', 'seeing the truth of the illusion of self']","['A_pron_x', 'A_def']",48,"[0.25, 0.14]","[1.0, 0.56]"
1814.3,1814,30,30,If I were in charge,then i would be the I of all.,"['then', 'i would be the I of all']","['Undefined', 'P_bevb_x']",49,"[0.14, 0.22]","[0.56, 0.88]"
1816.13,1816,13,40,We could make the world a better place if,"we all paid attention to our growth - explored the shadow, developed our maturity, learned to go inside.  We can also act directly on the world by developing global interactions that serve everyone; teaching attitudes of peace, gratitude, forgiveness; listening to other people and to the underlying dynamics; I&#039;m sure there&#039;s more.","['we all paid attention to our growth', 'explored', 'the shadow developed', 'our maturity learned to go inside', 'We can also act directly on the world by', 'developing global interactions', 'that serve everyone', 'teaching attitudes of peace gratitude forgiveness', 'listening to other people and to the underlying dynamics', 'I m sure', 'there s more']","['A_pron_x', 'A_def', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_get_x', 'A_def']",50,"[0.14, 0.12, 0.14, 0.14, 0.25, 0.25, 0.14, 0.25, 0.25, 0.22, 0.14]","[0.56, 0.48, 0.56, 0.56, 1.0, 1.0, 0.56, 1.0, 1.0, 0.88, 0.56]"
1818.15,1818,15,41,Privacy,is relative depending one&#039;s comfort with oneself and others.,"['is relative', 'depending one s comfort with oneself and others']","['P_bevb_x', 'A_pron_x']",51,"[0.12, 0.25]","[0.48, 1.0]"
1823.03,1823,3,3,Change is,the heartbeat of the universe... aliveness calling us forth!,"['the heartbeat of the universe aliveness', 'calling us forth']","['Undefined', 'A_def']",52,"[0.14, 0.25]","[0.56, 1.0]"
1823.05,1823,5,5,Being with other people,is like watching life itself unfold through the ages.,"['is like', 'watching life itself', 'unfold through the ages']","['P_bevb_x', 'A_def', 'A_def']",53,"[0.12, 0.25, 0.14]","[0.48, 1.0, 0.56]"
1823.06,1823,6,6,The thing I like about myself is,"that here I sit in the drop of this essential moment, chuckling at this question! :-D","['that here I sit in the drop of this essential moment', 'chuckling at this question D']","['A_def', 'A_def']",54,"[0.22, 0.25]","[0.88, 1.0]"
1823.07,1823,7,38,My co-workers and I,"arise together, knowing and not knowing, roles arising and falling away, out of which life itself creates anew, carrying our dance like seeds in a breeze.","['together', 'knowing and', 'not knowing roles', 'arising and', 'falling away out of which life itself', 'creates anew carrying our dance like seeds in a breeze']","['Undefined', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x']",55,"[0.14, 0.14, 0.14, 0.14, 0.25, 0.25]","[0.56, 0.56, 0.56, 0.56, 1.0, 1.0]"
1823.35,1823,35,35,My conscience bothers me if,"I&#039;m not placing my feet on the path with an open heart, mind and spirit, tuning in to what&#039;s moving and showing up fully at the dance.","['I m not placing my feet on the path with an open heart mind and spirit', 'tuning in to and', 'what s moving', 'showing up fully at the dance']","['A_pron_x', 'A_def', 'A_def', 'A_def']",56,"[0.25, 0.14, 0.14, 0.25]","[1.0, 0.56, 0.56, 1.0]"
1825.03,1825,3,3,Change is,the ever evolving universe.,"['the universe', 'ever evolving']","['Undefined', 'A_def']",57,"[0.14, 0.14]","[0.56, 0.56]"
1825.14,1825,14,14,The past,is alive in this moment swirling with futures and other pasts colliding in infinite strings of moments.,"['is alive in this moment', 'swirling with futures and other pasts', 'colliding in infinite strings of moments']","['P_bevb_x', 'A_def', 'A_def']",58,"[0.14, 0.14, 0.25]","[0.56, 0.56, 1.0]"
1826.12,1826,12,12,A good boss,"is empathetic, intelligent, engaging, passionate and a teacher/coach.",['is empathetic intelligent engaging passionate and a teacher coach'],['P_bevb_x'],59,[0.25],[1.0]
1831.11,1831,11,39,What I like to do best is,"be in a complete experience of effortless flow and evolution with myself, others and the universe.",['be in a complete experience of effortless flow and evolution with myself others and the universe'],['P_bevb_x'],60,[0.25],[1.0]
1832.26,1832,26,26,When I get mad,"it takes a long time to build up, but I am slow to forgive.","['it takes a long time but', 'to build up', 'I am slow to forgive']","['A_def', 'A_def', 'P_bevb_x']",61,"[0.14, 0.12, 0.22]","[0.56, 0.48, 0.88]"
